subject	world	path	squaretype	chosenPath	chosenSquareType	rt
S11135	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1094
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1368
S123177	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	13562
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1195
S126242	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2482
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1280
S14208	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	2814
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	750
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	1102
S156147	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1548
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	729
S16432	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	2454
S16432	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	484
S164546	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	9429
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1254
S166242	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3885
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	991
S180888	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	9434
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	1202
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	968
S185508	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	3399
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1676
S191334	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1102
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	2003
S20545	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1385
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	522
S224593	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1350
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	1079
S235282	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	6246
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	621
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	726
S247056	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1598
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	503
S248332	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	3891
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	687
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	822
S250296	courtyard	p(0,0);	X	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	4351
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	599
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	G	692
S256137	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	5974
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	G	750
S265716	courtyard	p(0,0);	X	p(0,0);p(1,0);p(2,0);p(3,0);	D	1058
