subject	world	path	squaretype	nodeName	availableChildName	nodeValue	chosen
S11135	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S11135	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S11135	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S123177	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S123177	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S123177	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S126242	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S126242	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S126242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S14208	courtyard	p(0,0);	X	N3719219	N3977188	8.2	TRUE
S14208	courtyard	p(0,0);	X	N3719219	N990982	6.8	FALSE
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	D	N3977188	N8241686	9.4	TRUE
S14208	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	D	N8241686	N4988346	10.0	TRUE
S156147	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S156147	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S156147	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S16432	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S16432	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
S16432	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N6673600	7.6666665	TRUE
S16432	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	D	N990982	N3622934	14.0	FALSE
S164546	courtyard	p(0,0);	X	N3719219	N990982	6.8	TRUE
S164546	courtyard	p(0,0);	X	N3719219	N3977188	8.2	FALSE
