world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
E2Maps/bunker3	(0,0)	N7803842	NA	p(0,0);	0	0.0	0	0	FALSE	9.73913	0	23	
E2Maps/bunker3	(2,0)	N8595069	N7803842	p(0,0);p(1,0);p(2,0);	1	4.0	2	2	FALSE	9.73913	10	19	1,2,3,4
E2Maps/bunker3	(2,4)	N1657801	N8595069	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	2	5.0	4	6	FALSE	10.842105	9	14	2,1,1,2,3
E2Maps/bunker3	(4,4)	N7360841	N1657801	p(2,4);p(3,4);p(4,4);	3	8.0	2	8	FALSE	11.928571	18	6	1,2,1,2,2,3,3,4
E2Maps/bunker3	(0,4)	N4351810	N1657801	p(2,4);p(1,4);p(0,4);	3	4.0	2	8	FALSE	13.642858	6	10	2,1,1,2
E2Maps/bunker3	(0,4)	N7561425	N7360841	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);	4	4.0	4	12	FALSE	14.166666	6	2	2,1,1,2
E2Maps/bunker3	(0,6)	N9720811	N4351810	p(0,4);p(0,5);p(0,6);	4	2.0	2	10	FALSE	16.9	3	8	1,2
E2Maps/bunker3	(4,4)	N6831977	N4351810	p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	4	8.0	4	12	FALSE	15.3	18	2	1,2,1,2,2,3,3,4
E2Maps/bunker3	(0,6)	N6304494	N7561425	p(0,4);p(0,5);p(0,6);	5	2.0	2	14	TRUE	15.5	3	0	1,2
E2Maps/bunker3	(4,4)	N3719886	N9720811	p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	5	8.0	6	16	TRUE	18.25	18	0	1,2,1,2,2,3,3,4
E2Maps/bunker3	(0,6)	N4234551	N6831977	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	5	2.0	6	18	TRUE	19.5	3	0	1,2
E2Maps/cathedral	(0,0)	N5304576	NA	p(0,0);	0	0.0	0	0	FALSE	9.0	0	24	
E2Maps/cathedral	(0,2)	N54855	N5304576	p(0,0);p(0,1);p(0,2);	1	10.0	2	2	FALSE	9.0	35	14	1,2,3,4,5,2,3,4,5,6
E2Maps/cathedral	(3,2)	N608136	N54855	p(0,2);p(1,2);p(2,2);p(3,2);	2	4.0	3	5	FALSE	11.5	8	10	2,1,2,3
E2Maps/cathedral	(3,0)	N7058269	N608136	p(3,2);p(3,1);p(3,0);	3	4.0	2	7	FALSE	13.299999	7	6	1,1,2,3
E2Maps/cathedral	(3,5)	N9813836	N608136	p(3,2);p(3,3);p(3,4);p(3,5);	3	4.0	3	8	FALSE	14.300001	7	6	1,1,2,3
E2Maps/cathedral	(6,0)	N6429694	N7058269	p(3,0);p(4,0);p(5,0);p(6,0);	4	1.0	3	10	FALSE	18.666668	1	5	1
E2Maps/cathedral	(3,5)	N6051250	N7058269	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4.0	5	12	FALSE	16.333332	7	2	1,1,2,3
E2Maps/cathedral	(6,5)	N2842748	N9813836	p(3,5);p(4,5);p(5,5);p(6,5);	4	1.0	3	11	FALSE	19.666666	1	5	1
E2Maps/cathedral	(3,0)	N5437085	N9813836	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	4	4.0	5	13	FALSE	17.333334	7	2	1,1,2,3
E2Maps/cathedral	(3,5)	N7958790	N6429694	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	5	4.0	8	18	FALSE	20.2	7	1	1,1,2,3
E2Maps/cathedral	(6,5)	N4519330	N6051250	p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	3	15	FALSE	21.5	1	1	1
E2Maps/cathedral	(6,0)	N9525799	N6051250	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	8	20	FALSE	26.5	1	1	1
E2Maps/cathedral	(3,0)	N4703959	N2842748	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	5	4.0	8	19	FALSE	21.2	7	1	1,1,2,3
E2Maps/cathedral	(6,0)	N4027264	N5437085	p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	3	16	FALSE	22.5	1	1	1
E2Maps/cathedral	(6,5)	N2926498	N5437085	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	8	21	FALSE	27.5	1	1	1
E2Maps/cathedral	(6,5)	N5178030	N7958790	p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	3	21	TRUE	22.0	1	0	1
E2Maps/cathedral	(6,0)	N7437210	N4519330	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	26	TRUE	27.0	1	0	1
E2Maps/cathedral	(6,5)	N1433900	N9525799	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	31	TRUE	32.0	1	0	1
E2Maps/cathedral	(6,0)	N1891421	N4703959	p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	3	22	TRUE	23.0	1	0	1
E2Maps/cathedral	(6,5)	N3598504	N4027264	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	27	TRUE	28.0	1	0	1
E2Maps/cathedral	(6,0)	N6680899	N2926498	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	32	TRUE	33.0	1	0	1
E2Maps/courtyard	(0,0)	N3719219	NA	p(0,0);	0	0.0	0	0	FALSE	6.8	0	10	
E2Maps/courtyard	(3,0)	N990982	N3719219	p(0,0);p(1,0);p(2,0);p(3,0);	1	4.0	3	3	FALSE	6.8	10	6	1,2,3,4
E2Maps/courtyard	(0,4)	N3977188	N3719219	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	1	5.0	4	4	FALSE	8.2	15	5	1,2,3,4,5
E2Maps/courtyard	(3,2)	N6673600	N990982	p(3,0);p(3,1);p(3,2);	2	2.0	2	5	FALSE	7.6666665	2	4	1,1
E2Maps/courtyard	(0,4)	N3622934	N990982	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	2	4.0	7	10	FALSE	14.0	12	2	1,2,4,5
E2Maps/courtyard	(3,4)	N8241686	N3977188	p(0,4);p(1,4);p(2,4);p(3,4);	2	3.0	3	7	FALSE	9.4	6	2	3,2,1
E2Maps/courtyard	(3,4)	N5482243	N6673600	p(3,2);p(3,3);p(3,4);	3	4.0	2	7	TRUE	8.5	6	0	2,1,1,2
E2Maps/courtyard	(3,2)	N7471328	N3622934	p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	3	2.0	5	15	TRUE	16.0	2	0	1,1
E2Maps/courtyard	(3,2)	N4988346	N8241686	p(3,4);p(3,3);p(3,2);	3	2.0	2	9	TRUE	10.0	2	0	1,1
E2Maps/cubicles	(0,0)	N7210304	NA	p(0,0);	0	0.0	0	0	FALSE	9.0	0	23	
E2Maps/cubicles	(2,0)	N2319363	N7210304	p(0,0);p(1,0);p(2,0);	1	3.0	2	2	FALSE	9.0	6	20	1,2,3
E2Maps/cubicles	(0,3)	N8435133	N7210304	p(0,0);p(0,1);p(0,2);p(0,3);	1	5.0	3	3	FALSE	10.652175	15	18	1,2,3,4,5
E2Maps/cubicles	(3,0)	N2367950	N2319363	p(2,0);p(3,0);	2	4.0	1	3	FALSE	9.75	14	16	2,3,4,5
E2Maps/cubicles	(0,3)	N3487541	N2319363	p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	2	5.0	5	7	FALSE	13.549999	15	15	1,2,3,4,5
E2Maps/cubicles	(3,3)	N9556533	N8435133	p(0,3);p(1,3);p(2,3);p(3,3);	2	4.0	3	6	FALSE	11.944446	6	14	2,1,1,2
E2Maps/cubicles	(2,0)	N4303499	N8435133	p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);	2	3.0	5	8	FALSE	15.499999	6	15	1,2,3
E2Maps/cubicles	(3,3)	N4214308	N2367950	p(3,0);p(3,1);p(3,2);p(3,3);	3	4.0	3	6	FALSE	10.5625	6	12	2,1,1,2
E2Maps/cubicles	(3,3)	N1849367	N3487541	p(0,3);p(1,3);p(2,3);p(3,3);	3	3.0	3	10	FALSE	14.733333	4	12	1,1,2
E2Maps/cubicles	(3,5)	N9487763	N9556533	p(3,3);p(3,4);p(3,5);	3	4.0	2	8	FALSE	13.214287	6	10	2,1,1,2
E2Maps/cubicles	(3,1)	N4932175	N9556533	p(3,3);p(3,2);p(3,1);	3	2.0	2	8	FALSE	14.642857	2	12	1,1
E2Maps/cubicles	(3,0)	N9278548	N4303499	p(2,0);p(3,0);	3	3.0	1	9	FALSE	16.599998	11	12	2,4,5
E2Maps/cubicles	(3,5)	N117979	N4214308	p(3,3);p(3,4);p(3,5);	4	4.0	2	8	FALSE	11.583333	6	8	2,1,1,2
E2Maps/cubicles	(3,5)	N1743708	N1849367	p(3,3);p(3,4);p(3,5);	4	4.0	2	12	FALSE	15.583333	6	8	2,1,1,2
E2Maps/cubicles	(4,5)	N9527877	N9487763	p(3,5);p(4,5);	4	4.0	1	9	FALSE	14.700001	8	6	1,2,2,3
