"","world","node","child","value","prob","N","hash"
"1","courtyard","N3719219","N990982",6.8,0.666666666666667,63,"courtyard N3719219"
"3","courtyard","N3719219","N3977188",8.2,0.333333333333333,63,"courtyard N3719219"
"2","courtyard","N990982","N6673600",7.6666665,1,42,"courtyard N990982"
"44","courtyard","N990982","N3622934",14,0,42,"courtyard N990982"
"4","cubicles","N7210304","N2319363",9,0.777777777777778,63,"cubicles N7210304"
"14","cubicles","N7210304","N8435133",10.652175,0.222222222222222,63,"cubicles N7210304"
"9","cubicles","N2319363","N2367950",9.75,1,49,"cubicles N2319363"
"41","cubicles","N2319363","N3487541",13.549999,0,49,"cubicles N2319363"
"22","library","N9553169","N7453865",11.666667,0.761904761904762,63,"library N9553169"
"28","library","N9553169","N6857034",12.066667,0.238095238095238,63,"library N9553169"
"26","bunker3","N1657801","N7360841",11.928571,0.412698412698413,63,"bunker3 N1657801"
"42","bunker3","N1657801","N4351810",13.642858,0.587301587301587,63,"bunker3 N1657801"
"27","cubicles","N8435133","N9556533",11.944446,1,14,"cubicles N8435133"
"59","cubicles","N8435133","N4303499",15.499999,0,14,"cubicles N8435133"
"33","labyrinth3","N8899359","N8858377",12.727272,0.380952380952381,63,"labyrinth3 N8899359"
"34","labyrinth3","N8899359","N5316967",13.09091,0.317460317460317,63,"labyrinth3 N8899359"
"49","labyrinth3","N8899359","N7730376",14.545454,0.301587301587302,63,"labyrinth3 N8899359"
"36","tworooms","N1627744","N7416731",13.2,0.555555555555556,63,"tworooms N1627744"
"58","tworooms","N1627744","N2169075",15.466667,0.444444444444444,63,"tworooms N1627744"
"37","cubicles","N9556533","N9487763",13.214287,0.936507936507937,63,"cubicles N9556533"
"50","cubicles","N9556533","N4932175",14.642857,0.0634920634920635,63,"cubicles N9556533"
"38","cathedral","N608136","N7058269",13.299999,0.736842105263158,57,"cathedral N608136"
"46","cathedral","N608136","N9813836",14.300001,0.263157894736842,57,"cathedral N608136"
"39","roomG","N3215843","N9994126",13.3529415,0.46031746031746,63,"roomG N3215843"
"45","roomG","N3215843","N3886181",14.294119,0.53968253968254,63,"roomG N3215843"
"43","library","N6857034","N2272684",13.727272,0.984126984126984,63,"library N6857034"
"68","library","N6857034","N54623",16.454544,0.0158730158730159,63,"library N6857034"
"47","museum","N599523","N8999294",14.368422,0.619047619047619,63,"museum N599523"
"63","museum","N599523","N1035050",15.736841,0.380952380952381,63,"museum N599523"
"48","ikea","N9812190","N6109064",14.526315,0.492063492063492,63,"ikea N9812190"
"65","ikea","N9812190","N1448237",16.105263,0.507936507936508,63,"ikea N9812190"
"51","cubicles","N9487763","N9527877",14.700001,0.46031746031746,63,"cubicles N9487763"
"77","cubicles","N9487763","N8892822",17.1,0.53968253968254,63,"cubicles N9487763"
"101","cubicles","N9487763","N3493111",19.1,0,63,"cubicles N9487763"
"52","labyrinth3","N5316967","N4592326",14.857143,0.40625,32,"labyrinth3 N5316967"
"70","labyrinth3","N5316967","N8407469",16.571428,0.59375,32,"labyrinth3 N5316967"
"53","garden","N5115068","N7850553",15.000001,0.26984126984127,63,"garden N5115068"
"60","garden","N5115068","N7603509",15.571428,0.174603174603175,63,"garden N5115068"
"82","garden","N5115068","N4747663",17.714285,0.555555555555556,63,"garden N5115068"
"54","lab","N8548928","N9935630",15.076923,0.301587301587302,63,"lab N8548928"
"62","lab","N8548928","N2655524",15.692307,0.301587301587302,63,"lab N8548928"
"97","lab","N8548928","N4538173",18.76923,0.396825396825397,63,"lab N8548928"
"55","labyrinth3","N8858377","N4938213",15.166667,0.324324324324324,37,"labyrinth3 N8858377"
"69","labyrinth3","N8858377","N1078752",16.5,0.675675675675676,37,"labyrinth3 N8858377"
"57","bunker3","N4351810","N6831977",15.3,0.162162162162162,37,"bunker3 N4351810"
"73","bunker3","N4351810","N9720811",16.9,0.837837837837838,37,"bunker3 N4351810"
"64","roomG","N3886181","N413710",15.769232,0.571428571428571,63,"roomG N3886181"
"79","roomG","N3886181","N5279315",17.307692,0.0158730158730159,63,"roomG N3886181"
"81","roomG","N3886181","N1443972",17.615383,0.412698412698413,63,"roomG N3886181"
"66","library","N2272684","N4522484",16.166666,0.650793650793651,63,"library N2272684"
"72","library","N2272684","N9747004",16.833332,0.349206349206349,63,"library N2272684"
"131","library","N2272684","N1620555",22.166666,0,63,"library N2272684"
"67","cathedral","N7058269","N6051250",16.333332,0.255813953488372,43,"cathedral N7058269"
"95","cathedral","N7058269","N6429694",18.666668,0.744186046511628,43,"cathedral N7058269"
"74","garden","N7603509","N2138712",16.916666,0.375,24,"garden N7603509"
"109","garden","N7603509","N3123108",20.083336,0.625,24,"garden N7603509"
"75","museum","N8999294","N3583653",16.928572,0.682539682539683,63,"museum N8999294"
"80","museum","N8999294","N3878259",17.5,0.301587301587302,63,"museum N8999294"
"106","museum","N8999294","N7239905",19.785715,0.0158730158730159,63,"museum N8999294"
"76","tworooms","N2169075","N2277",17,0.607142857142857,28,"tworooms N2169075"
"78","tworooms","N2169075","N763696",17.166666,0.0357142857142857,28,"tworooms N2169075"
"92","tworooms","N2169075","N5159403",18.499998,0.357142857142857,28,"tworooms N2169075"
"84","museum","N1035050","N9449477",17.8,0.0416666666666667,24,"museum N1035050"
"88","museum","N1035050","N9773808",18.333332,0.958333333333333,24,"museum N1035050"
"85","garden","N7850553","N6320060",18,0.5,24,"garden N7850553"
"90","garden","N7850553","N4613075",18.400002,0.5,24,"garden N7850553"
"87","tworooms","N2277","N6388298",18.3,0.666666666666667,18,"tworooms N2277"
"93","tworooms","N2277","N5127596",18.5,0.111111111111111,18,"tworooms N2277"
"108","tworooms","N2277","N7291500",19.900002,0.222222222222222,18,"tworooms N2277"
"89","ikea","N1448237","N4631048",18.357143,0.777777777777778,63,"ikea N1448237"
"98","ikea","N1448237","N2396034",18.785713,0.0158730158730159,63,"ikea N1448237"
"105","ikea","N1448237","N234416",19.785715,0.206349206349206,63,"ikea N1448237"
"91","lab","N9935630","N9994475",18.444445,0.689655172413793,29,"lab N9935630"
"104","lab","N9935630","N7839123",19.777779,0.310344827586207,29,"lab N9935630"
"94","cubicles","N8892822","N9981263",18.5,0.911764705882353,34,"cubicles N8892822"
"99","cubicles","N8892822","N2137138",19,0.0882352941176471,34,"cubicles N8892822"
