world	node	child	value	prob	N	hash
courtyard2	N758342	N4367340	6.8	1	1	courtyard2 N758342
courtyard2	N758342	N91614	8.2	0	1	courtyard2 N758342
courtyard2	N4367340	N6849877	7.6666665	1	1	courtyard2 N4367340
courtyard2	N4367340	N2494028	14	0	1	courtyard2 N4367340
cubicles2	N5568761	N8304009	9	0.6666666667	3	cubicles2 N5568761
cubicles2	N5568761	N228160	10.652175	0.3333333333	3	cubicles2 N5568761
cubicles2	N8304009	N1161508	9.75	1	2	cubicles2 N8304009
cubicles2	N8304009	N4843750	13.549999	0	2	cubicles2 N8304009
library3	N532278	N109032	11.666667	1	1	library3 N532278
library3	N532278	N730252	12.066667	0	1	library3 N532278
library2	N3029589	N1913743	11.666667	1	1	library2 N3029589
library2	N3029589	N6681115	12.066667	0	1	library2 N3029589
bunker3	N867295	N4361519	11.928571	0	1	bunker3 N867295
bunker3	N867295	N867295	13.642858	1	1	bunker3 N867295
cubicles2	N228160	N8004907	11.944446	1	1	cubicles2 N228160
cubicles2	N228160	N7947510	15.499999	0	1	cubicles2 N228160
labyrinth2	N3939090	N3809958	11.999999	0.5	2	labyrinth2 N3939090
labyrinth2	N3939090	N1173854	13.714286	0.5	2	labyrinth2 N3939090
labyrinth2	N3939090	N4950539	15.428572	0	2	labyrinth2 N3939090
bunker22	N8658331	N5410772	12.6	0.5	2	bunker22 N8658331
bunker22	N8658331	N9947424	14.200001	0.5	2	bunker22 N8658331
cubicles2	N4920564	N2381262	12.625	0.5	2	cubicles2 N4920564
cubicles2	N4920564	N6519434	15.124999	0.5	2	cubicles2 N4920564
labyrinth3	N7260351	N2777208	12.727272	1	1	labyrinth3 N7260351
labyrinth3	N7260351	N2747255	13.09091	0	1	labyrinth3 N7260351
labyrinth3	N7260351	N7559818	14.545454	0	1	labyrinth3 N7260351
tworooms3	N2756697	N6231921	13.2	1	1	tworooms3 N2756697
tworooms3	N2756697	N9984212	15.466667	0	1	tworooms3 N2756697
tworooms2	N7481742	N902724	13.2	0.5	2	tworooms2 N7481742
tworooms2	N7481742	N4028198	15.466667	0.5	2	tworooms2 N7481742
cubicles2	N8004907	N2901846	13.214287	1	1	cubicles2 N8004907
cubicles2	N8004907	N4714074	14.642857	0	1	cubicles2 N8004907
cathedral2	N4607800	N2176391	13.299999	0.5	2	cathedral2 N4607800
cathedral2	N4607800	N2790364	14.300001	0.5	2	cathedral2 N4607800
roomG3	N1758224	N1758224	13.3529415	1	1	roomG3 N1758224
roomG3	N1758224	N2590368	14.294119	0	1	roomG3 N1758224
roomG2	N5011662	N901172	13.3529415	0.6666666667	3	roomG2 N5011662
roomG2	N5011662	N7098996	14.294119	0.3333333333	3	roomG2 N5011662
museum3	N9693047	N331685	14.368422	0	1	museum3 N9693047
museum3	N9693047	N698651	15.736841	1	1	museum3 N9693047
museum2	N6158772	N973845	14.368422	0.5	2	museum2 N6158772
museum2	N6158772	N5345139	15.736841	0.5	2	museum2 N6158772
ikea3	N4902058	N5543839	14.526315	0.5	2	ikea3 N4902058
ikea3	N4902058	N5199229	16.105263	0.5	2	ikea3 N4902058
ikea2	N3184354	N9503364	14.526315	0.5	2	ikea2 N3184354
ikea2	N3184354	N4034730	16.105263	0.5	2	ikea2 N3184354
labyrinth2	N1173854	N3060000	14.666666	0	1	labyrinth2 N1173854
labyrinth2	N1173854	N8514234	18.666666	1	1	labyrinth2 N1173854
cubicles2	N2901846	N6176258	14.700001	1	1	cubicles2 N2901846
cubicles2	N2901846	N143329	17.1	0	1	cubicles2 N2901846
cubicles2	N2901846	N6195688	19.1	0	1	cubicles2 N2901846
library3	N8184629	N4307670	15	1	1	library3 N8184629
library3	N8184629	N2614691	16	0	1	library3 N8184629
library2	N8152353	N7169104	15	1	1	library2 N8152353
library2	N8152353	N5188898	16	0	1	library2 N8152353
lab2	N8396451	N926775	15.000001	0.6666666667	3	lab2 N8396451
lab2	N8396451	N3020348	15.571428	0.3333333333	3	lab2 N8396451
lab2	N8396451	N430786	17.714285	0	3	lab2 N8396451
garden3	N7218398	N977712	15.000001	0	1	garden3 N7218398
garden3	N7218398	N477249	15.571428	1	1	garden3 N7218398
garden3	N7218398	N2665020	17.714285	0	1	garden3 N7218398
bunker22	N9947424	N9513130	15.571429	0	1	bunker22 N9947424
bunker22	N9947424	N34340	19.571428	1	1	bunker22 N9947424
roomG2	N7098996	N1690083	15.769232	0	1	roomG2 N7098996
roomG2	N7098996	N9677328	17.307692	0	1	roomG2 N7098996
roomG2	N7098996	N5841773	17.615383	1	1	roomG2 N7098996
roomG2	N6388025	N8360668	16.285715	1	2	roomG2 N6388025
roomG2	N6388025	N1844063	18.571428	0	2	roomG2 N6388025
cathedral2	N2176391	N6547870	16.333332	0	1	cathedral2 N2176391
cathedral2	N2176391	N7665299	18.666668	1	1	cathedral2 N2176391
museum2	N973845	N5004474	16.928572	1	1	museum2 N973845
museum2	N973845	N9771174	17.5	0	1	museum2 N973845
museum2	N973845	N1094567	19.785715	0	1	museum2 N973845
tworooms2	N4028198	N8212000	17	1	1	tworooms2 N4028198
tworooms2	N4028198	N185252	17.166666	0	1	tworooms2 N4028198
tworooms2	N4028198	N851825	18.499998	0	1	tworooms2 N4028198
cathedral2	N2790364	N9722134	17.333334	0	1	cathedral2 N2790364
cathedral2	N2790364	N1627182	19.666666	1	1	cathedral2 N2790364
museum2	N5345139	N9158799	17.8	0	1	museum2 N5345139
museum2	N5345139	N185461	18.333332	1	1	museum2 N5345139
lab2	N926775	N30456	18	0.5	2	lab2 N926775
lab2	N926775	N6196341	18.400002	0.5	2	lab2 N926775
tworooms2	N8212000	N9097797	18.3	1	1	tworooms2 N8212000
tworooms2	N8212000	N8744047	18.5	0	1	tworooms2 N8212000
tworooms2	N8212000	N1562568	19.900002	0	1	tworooms2 N8212000
ikea2	N4034730	N4798789	18.357143	0	1	ikea2 N4034730
ikea2	N4034730	N5566342	18.785713	0	1	ikea2 N4034730
ikea2	N4034730	N6646473	19.785715	1	1	ikea2 N4034730
library2	N1306428	N167804	18.5	1	1	library2 N1306428
library2	N1306428	N3332226	22.5	0	1	library2 N1306428
cubicles2	N143329	N6508581	18.5	1	1	cubicles2 N143329
cubicles2	N143329	N7185729	19	0	1	cubicles2 N143329
cubicles2	N143329	N2973957	22.5	0	1	cubicles2 N143329
ikea2	N8150563	N7605413	18.5	1	1	ikea2 N8150563
ikea2	N8150563	N4790348	19.5	0	1	ikea2 N8150563
cubicles2	N6508581	N3429854	20.333332	1	1	cubicles2 N6508581
cubicles2	N6508581	N71437	24.999998	0	1	cubicles2 N6508581
tworooms2	N9097797	N9330797	20.571428	1	1	tworooms2 N9097797
tworooms2	N9097797	N3683355	22.571428	0	1	tworooms2 N9097797
lab2	N6196341	N7547934	20.714287	0	1	lab2 N6196341
lab2	N6196341	N255806	21.285717	1	1	lab2 N6196341
lab2	N6196341	N7295809	24.428572	0	1	lab2 N6196341
ikea2	N6646473	N9317750	21	1	1	ikea2 N6646473
ikea2	N6646473	N5229627	23.666666	0	1	ikea2 N6646473
ikea2	N6646473	N6890368	23.666666	0	1	ikea2 N6646473
museum2	N4737536	N4336926	21.25	0	1	museum2 N4737536
museum2	N4737536	N8442349	22.25	1	1	museum2 N4737536
museum2	N3237684	N9107697	22.75	1	1	museum2 N3237684
museum2	N3237684	N2515293	24.75	0	1	museum2 N3237684
lab2	N255806	N6883996	24.000002	1	1	lab2 N255806
lab2	N255806	N7203998	24.4	0	1	lab2 N255806
lab2	N255806	N3164351	26.800001	0	1	lab2 N255806
museum2	N8442349	N7647737	24.5	1	1	museum2 N8442349
museum2	N8442349	N974167	26.5	0	1	museum2 N8442349
ikea2	N9317750	N1703525	24.571428	0	1	ikea2 N9317750
ikea2	N9317750	N5632353	26.57143	1	1	ikea2 N9317750
lab2	N5993473	N3675483	24.75	1	1	lab2 N5993473
lab2	N5993473	N1451307	25.25	0	1	lab2 N5993473
lab2	N5993473	N2090778	26.25	0	1	lab2 N5993473
lab2	N3675483	N4528463	26.833332	0	1	lab2 N3675483
lab2	N3675483	N7409567	28.166666	1	1	lab2 N3675483
