world	node	child	value	prob	N	hash
courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219
courtyard	N3719219	N3977188	8.2	0.2222222222	126	courtyard N3719219
courtyard	N990982	N6673600	7.6666665	1	98	courtyard N990982
courtyard	N990982	N3622934	14	0	98	courtyard N990982
cubicles	N7210304	N2319363	9	0.8492063492	126	cubicles N7210304
cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304
cubicles	N2319363	N2367950	9.75	1	107	cubicles N2319363
cubicles	N2319363	N3487541	13.549999	0	107	cubicles N2319363
library	N9553169	N7453865	11.666667	0.7777777778	126	library N9553169
library	N9553169	N6857034	12.066667	0.2222222222	126	library N9553169
bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801
bunker3	N1657801	N4351810	13.642858	0.4682539683	126	bunker3 N1657801
cubicles	N8435133	N9556533	11.944446	1	19	cubicles N8435133
cubicles	N8435133	N4303499	15.499999	0	19	cubicles N8435133
cubicles	N117979	N2528154	12.625	0.6603773585	106	cubicles N117979
cubicles	N117979	N3494734	15.124999	0.3396226415	106	cubicles N117979
labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	labyrinth3 N8899359
labyrinth3	N8899359	N5316967	13.09091	0.380952381	126	labyrinth3 N8899359
labyrinth3	N8899359	N7730376	14.545454	0.253968254	126	labyrinth3 N8899359
tworooms	N1627744	N7416731	13.2	0.6507936508	126	tworooms N1627744
tworooms	N1627744	N2169075	15.466667	0.3492063492	126	tworooms N1627744
cubicles	N9556533	N9487763	13.214287	0.7894736842	19	cubicles N9556533
cubicles	N9556533	N4932175	14.642857	0.2105263158	19	cubicles N9556533
cathedral	N608136	N7058269	13.299999	0.7881355932	118	cathedral N608136
cathedral	N608136	N9813836	14.300001	0.2118644068	118	cathedral N608136
roomG	N3215843	N9994126	13.3529415	0.5396825397	126	roomG N3215843
roomG	N3215843	N3886181	14.294119	0.4603174603	126	roomG N3215843
library	N6857034	N2272684	13.727272	0.9642857143	28	library N6857034
library	N6857034	N54623	16.454544	0.0357142857	28	library N6857034
museum	N599523	N8999294	14.368422	0.7380952381	126	museum N599523
museum	N599523	N1035050	15.736841	0.2619047619	126	museum N599523
ikea	N9812190	N6109064	14.526315	0.626984127	126	ikea N9812190
ikea	N9812190	N1448237	16.105263	0.373015873	126	ikea N9812190
cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763
cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763
cubicles	N9487763	N3493111	19.1	0	15	cubicles N9487763
labyrinth3	N5316967	N4592326	14.857143	0.6458333333	48	labyrinth3 N5316967
labyrinth3	N5316967	N8407469	16.571428	0.3541666667	48	labyrinth3 N5316967
library	N2153380	N4822267	15	0.7755102041	98	library N2153380
library	N2153380	N3287714	16	0.2244897959	98	library N2153380
garden	N5115068	N7850553	15.000001	0.4603174603	126	garden N5115068
garden	N5115068	N7603509	15.571428	0.253968254	126	garden N5115068
garden	N5115068	N4747663	17.714285	0.2857142857	126	garden N5115068
lab	N8548928	N9935630	15.076923	0.4841269841	126	lab N8548928
lab	N8548928	N2655524	15.692307	0.2777777778	126	lab N8548928
lab	N8548928	N4538173	18.76923	0.2380952381	126	lab N8548928
labyrinth3	N8858377	N4938213	15.166667	0.6304347826	46	labyrinth3 N8858377
labyrinth3	N8858377	N1078752	16.5	0.3695652174	46	labyrinth3 N8858377
bunker3	N4351810	N6831977	15.3	0.1694915254	59	bunker3 N4351810
bunker3	N4351810	N9720811	16.9	0.8305084746	59	bunker3 N4351810
roomG	N3886181	N413710	15.769232	0.724137931	58	roomG N3886181
roomG	N3886181	N5279315	17.307692	0.0172413793	58	roomG N3886181
roomG	N3886181	N1443972	17.615383	0.2586206897	58	roomG N3886181
library	N2272684	N4522484	16.166666	0.4814814815	27	library N2272684
library	N2272684	N9747004	16.833332	0.5185185185	27	library N2272684
library	N2272684	N1620555	22.166666	0	27	library N2272684
roomG	N8320789	N3398689	16.285715	0.6911764706	68	roomG N8320789
roomG	N8320789	N1625775	18.571428	0.3088235294	68	roomG N8320789
cathedral	N7058269	N6051250	16.333332	0.3978494624	93	cathedral N7058269
cathedral	N7058269	N6429694	18.666668	0.6021505376	93	cathedral N7058269
cubicles	N7167978	N6349558	16.625	0.25	4	cubicles N7167978
cubicles	N7167978	N4606479	19.125	0.75	4	cubicles N7167978
garden	N7603509	N2138712	16.916666	0.84375	32	garden N7603509
garden	N7603509	N3123108	20.083336	0.15625	32	garden N7603509
museum	N8999294	N3583653	16.928572	0.6559139785	93	museum N8999294
museum	N8999294	N3878259	17.5	0.3333333333	93	museum N8999294
museum	N8999294	N7239905	19.785715	0.0107526882	93	museum N8999294
tworooms	N2169075	N2277	17	0.6818181818	44	tworooms N2169075
tworooms	N2169075	N763696	17.166666	0.0454545455	44	tworooms N2169075
tworooms	N2169075	N5159403	18.499998	0.2727272727	44	tworooms N2169075
museum	N1035050	N9449477	17.8	0.0333333333	30	museum N1035050
museum	N1035050	N9773808	18.333332	0.9666666667	30	museum N1035050
garden	N7850553	N6320060	18	0.6551724138	58	garden N7850553
garden	N7850553	N4613075	18.400002	0.3448275862	58	garden N7850553
tworooms	N2277	N6388298	18.3	0.7333333333	30	tworooms N2277
tworooms	N2277	N5127596	18.5	0.0333333333	30	tworooms N2277
tworooms	N2277	N7291500	19.900002	0.2333333333	30	tworooms N2277
ikea	N1448237	N4631048	18.357143	0.8085106383	47	ikea N1448237
ikea	N1448237	N2396034	18.785713	0.0425531915	47	ikea N1448237
ikea	N1448237	N234416	19.785715	0.1489361702	47	ikea N1448237
lab	N9935630	N9994475	18.444445	0.6721311475	61	lab N9935630
lab	N9935630	N7839123	19.777779	0.3278688525	61	lab N9935630
ikea	N100354	N4486578	18.5	0.835443038	79	ikea N100354
ikea	N100354	N1400368	19.5	0.164556962	79	ikea N100354
cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822
cubicles	N8892822	N2137138	19	0.0714285714	42	cubicles N8892822
cubicles	N8892822	N5568770	22.5	0	42	cubicles N8892822
roomG	N1443972	N2654501	18.727272	0.1333333333	15	roomG N1443972
roomG	N1443972	N7117627	20.545454	0	15	roomG N1443972
roomG	N1443972	N8317607	21.09091	0.8666666667	15	roomG N1443972
library	N5610265	N7608419	19	0	1	library N5610265
library	N5610265	N1352798	20	1	1	library N5610265
library	N9747004	N8680754	19	1	36	library N9747004
library	N9747004	N1647237	24	0	36	library N9747004
ikea	N4486578	N2531862	19.5	0.9848484848	66	ikea N4486578
ikea	N4486578	N132046	22.5	0.0151515152	66	ikea N4486578
ikea	N4631048	N9016413	19.500002	0.9473684211	38	ikea N4631048
ikea	N4631048	N6560058	22.166668	0	38	ikea N4631048
ikea	N4631048	N5861572	23.166666	0.0526315789	38	ikea N4631048
roomG	N1625775	N2316202	19.8	0	21	roomG N1625775
roomG	N1625775	N9172148	21.8	1	21	roomG N1625775
tworooms	N5159403	N1738800	19.9	1	12	tworooms N5159403
tworooms	N5159403	N1559736	20.1	0	12	tworooms N5159403
tworooms	N5159403	N7004659	20.1	0	12	tworooms N5159403
garden	N4747663	N4619086	20.090908	0.5833333333	36	garden N4747663
garden	N4747663	N8246099	20.090908	0.4166666667	36	garden N4747663
garden	N4747663	N1289190	20.454544	0	36	garden N4747663
garden	N4747663	N5433401	21.181818	0	36	garden N4747663
museum	N9449477	N3228077	20.1	1	1	museum N9449477
museum	N9449477	N3255322	20.9	0	1	museum N9449477
museum	N9449477	N934578	28.9	0	1	museum N9449477
roomG	N5279315	N2518305	20.285713	1	1	roomG N5279315
roomG	N5279315	N6566182	22.571428	0	1	roomG N5279315
cubicles	N9981263	N2053914	20.333332	0.976744186	43	cubicles N9981263
cubicles	N9981263	N2381213	24.999998	0.023255814	43	cubicles N9981263
cubicles	N4606479	N7119625	20.333332	0	3	cubicles N4606479
cubicles	N4606479	N6517911	21	1	3	cubicles N4606479
museum	N3878259	N4337909	20.5	0.9032258065	31	museum N3878259
museum	N3878259	N5843320	21.7	0.064516129	31	museum N3878259
museum	N3878259	N2766129	23.300001	0.0322580645	31	museum N3878259
ikea	N1400368	N9676480	20.5	0.9230769231	13	ikea N1400368
ikea	N1400368	N2021230	23.5	0.0769230769	13	ikea N1400368
tworooms	N6388298	N2446217	20.571428	0.1904761905	21	tworooms N6388298
tworooms	N6388298	N3112363	22.571428	0.8095238095	21	tworooms N6388298
lab	N4538173	N3633749	20.636364	0.4333333333	30	lab N4538173
lab	N4538173	N6476882	20.818182	0	30	lab N4538173
lab	N4538173	N2899302	21.545456	0	30	lab N4538173
lab	N4538173	N63617	21.72727	0.5666666667	30	lab N4538173
garden	N4613075	N8153414	20.714287	0.5	20	garden N4613075
garden	N4613075	N5298440	21.285717	0.5	20	garden N4613075
garden	N4613075	N4016530	24.428572	0	20	garden N4613075
ikea	N234416	N3896859	21	1	7	ikea N234416
ikea	N234416	N6099980	23.666666	0	7	ikea N234416
ikea	N234416	N9299941	23.666666	0	7	ikea N234416
garden	N9476286	N5061495	21.2	0.6315789474	38	garden N9476286
garden	N9476286	N9813497	22	0.3684210526	38	garden N9476286
garden	N4210096	N7991449	21.2	0.6296296296	27	garden N4210096
garden	N4210096	N7830461	22	0.3703703704	27	garden N4210096
museum	N4946088	N8559917	21.25	0.7586206897	29	museum N4946088
museum	N4946088	N2723957	22.25	0.2413793103	29	museum N4946088
tworooms	N7291500	N9601214	21.5	0.2857142857	7	tworooms N7291500
tworooms	N7291500	N9403647	21.75	0.7142857143	7	tworooms N7291500
lab	N7839123	N3878758	21.857143	0.3	20	lab N7839123
lab	N7839123	N6747577	22.142857	0.7	20	lab N7839123
lab	N7839123	N4211456	25	0	20	lab N7839123
roomG	N8317607	N1983096	21.900002	0.9705882353	34	roomG N8317607
roomG	N8317607	N940315	23.900002	0.0294117647	34	roomG N8317607
garden	N8246099	N7340845	22.222221	0.9333333333	15	garden N8246099
garden	N8246099	N7102836	22.222225	0	15	garden N8246099
garden	N8246099	N4984823	23.111113	0.0666666667	15	garden N8246099
tworooms	N1738800	N7295169	22.428572	0	11	tworooms N1738800
tworooms	N1738800	N5180650	22.714287	1	11	tworooms N1738800
garden	N3123108	N5359231	22.444447	0.2	5	garden N3123108
garden	N3123108	N9923259	22.444447	0.8	5	garden N3123108
garden	N3123108	N3458250	22.88889	0	5	garden N3123108
ikea	N2396034	N5268104	22.5	1	2	ikea N2396034
ikea	N2396034	N239392	23.5	0	2	ikea N2396034
museum	N4337909	N3311969	22.75	0.9142857143	35	museum N4337909
museum	N4337909	N4708138	24.75	0.0857142857	35	museum N4337909
lab	N3633749	N9315520	22.88889	0	13	lab N3633749
lab	N3633749	N752499	23.777777	0	13	lab N3633749
lab	N3633749	N2601690	23.777779	1	13	lab N3633749
lab	N3633749	N9447532	23.777779	0	13	lab N3633749
lab	N63617	N5745806	22.9	1	17	lab N63617
lab	N63617	N242960	23.7	0	17	lab N63617
lab	N63617	N2927853	23.9	0	17	lab N63617
lab	N63617	N6241308	24.5	0	17	lab N63617
museum	N7239905	N8235434	22.900002	1	1	museum N7239905
museum	N7239905	N2769566	24.1	0	1	museum N7239905
museum	N7239905	N1666022	24.9	0	1	museum N7239905
garden	N8153414	N6330284	23.2	1	27	garden N8153414
garden	N8153414	N6675860	26.000002	0	27	garden N8153414
ikea	N5268104	N386561	23.5	1	2	ikea N5268104
ikea	N5268104	N7542936	26.5	0	2	ikea N5268104
lab	N6747577	N7985505	23.5	1	14	lab N6747577
lab	N6747577	N1618589	25.5	0	14	lab N6747577
lab	N6747577	N7823548	27.833332	0	14	lab N6747577
lab	N5745806	N1113507	24.222221	0.9677419355	31	lab N5745806
lab	N5745806	N9798875	24.222223	0	31	lab N5745806
lab	N5745806	N7444307	25.11111	0.0322580645	31	lab N5745806
ikea	N5861572	N4207326	24.5	0.6666666667	3	ikea N5861572
ikea	N5861572	N8432610	27.3	0.3333333333	3	ikea N5861572
museum	N2723957	N7639406	24.5	1	6	museum N2723957
museum	N2723957	N3515934	26.5	0	6	museum N2723957
garden	N5359231	N1983367	24.714287	1	25	garden N5359231
garden	N5359231	N8342286	24.714287	0	25	garden N5359231
garden	N4984823	N3931278	24.714287	1	1	garden N4984823
garden	N4984823	N5039419	30.714287	0	1	garden N4984823
lab	N3878758	N6463419	24.8	1	6	lab N3878758
lab	N3878758	N8861539	25.6	0	6	lab N3878758
lab	N3878758	N3706462	27.2	0	6	lab N3878758
ikea	N9299941	N4612840	24.900002	1	1	ikea N9299941
ikea	N9299941	N1515191	27.3	0	1	ikea N9299941
lab	N2601690	N1930098	25.25	0.0526315789	19	lab N2601690
lab	N2601690	N7646124	26.249998	0.8947368421	19	lab N2601690
lab	N2601690	N124975	26.25	0.0526315789	19	lab N2601690
museum	N8235434	N9086861	25.25	1	1	museum N8235434
museum	N8235434	N1421546	26.25	0	1	museum N8235434
lab	N1113507	N8238657	26.42857	0	30	lab N1113507
lab	N1113507	N3936820	27.285713	1	30	lab N1113507
lab	N1113507	N661854	27.57143	0	30	lab N1113507
lab	N7646124	N239923	27.42857	1	17	lab N7646124
lab	N7646124	N1142105	28.285713	0	17	lab N7646124
lab	N7646124	N3814011	29.428574	0	17	lab N7646124
museum	N4708138	N8137719	27.5	1	2	museum N4708138
museum	N4708138	N3592924	31.5	0	2	museum N4708138
lab	N9798875	N5984201	28	1	5	lab N9798875
lab	N9798875	N8488385	31.2	0	5	lab N9798875
lab	N239923	N1797478	28.833332	0.2941176471	17	lab N239923
lab	N239923	N9684539	30.166664	0.7058823529	17	lab N239923
lab	N3936820	N4841925	28.833332	0.2666666667	30	lab N3936820
lab	N3936820	N7852858	30.166664	0.7333333333	30	lab N3936820
lab	N1930098	N1501992	29	0.8888888889	9	lab N1930098
lab	N1930098	N2539902	33	0.1111111111	9	lab N1930098
lab	N5408887	N441665	31.2	0	1	lab N5408887
lab	N5408887	N5399461	34	1	1	lab N5408887
lab	N2539902	N3230902	34.666664	1	1	lab N2539902
lab	N2539902	N5384883	38	0	1	lab N2539902
