world,node,child,value,dv_0.0,dv_0.01,dv_0.02,dv_0.03,dv_0.04,dv_0.05,dv_0.06,dv_0.07,dv_0.08,dv_0.09,dv_0.1,dv_0.11,dv_0.12,dv_0.13,dv_0.14,dv_0.15,dv_0.16,dv_0.17,dv_0.18,dv_0.19,dv_0.2,dv_0.21,dv_0.22,dv_0.23,dv_0.24,dv_0.25,dv_0.26,dv_0.27,dv_0.28,dv_0.29,dv_0.3,dv_0.31,dv_0.32,dv_0.33,dv_0.34,dv_0.35,dv_0.36,dv_0.37,dv_0.38,dv_0.39,dv_0.4,dv_0.41,dv_0.42,dv_0.43,dv_0.44,dv_0.45,dv_0.46,dv_0.47,dv_0.48,dv_0.49,dv_0.5,dv_0.51,dv_0.52,dv_0.53,dv_0.54,dv_0.55,dv_0.56,dv_0.57,dv_0.58,dv_0.59,dv_0.6,dv_0.61,dv_0.62,dv_0.63,dv_0.64,dv_0.65,dv_0.66,dv_0.67,dv_0.68,dv_0.69,dv_0.7,dv_0.71,dv_0.72,dv_0.73,dv_0.74,dv_0.75,dv_0.76,dv_0.77,dv_0.78,dv_0.79,dv_0.8,dv_0.81,dv_0.82,dv_0.83,dv_0.84,dv_0.85,dv_0.86,dv_0.87,dv_0.88,dv_0.89,dv_0.9,dv_0.91,dv_0.92,dv_0.93,dv_0.94,dv_0.95,dv_0.96,dv_0.97,dv_0.98,dv_0.99
courtyard,N3719219,N990982,6.8,2.2,2.212,2.225,2.239,2.253,2.268,2.284,2.301,2.318,2.336,2.354,2.373,2.393,2.413,2.435,2.457,2.479,2.502,2.526,2.551,2.576,2.602,2.629,2.656,2.684,2.713,2.742,2.772,2.803,2.834,2.866,2.899,2.932,2.966,3.001,3.037,3.073,3.109,3.147,3.185,3.224,3.264,3.304,3.345,3.386,3.429,3.471,3.515,3.559,3.604,3.65,3.696,3.743,3.791,3.839,3.889,3.938,3.989,4.04,4.092,4.144,4.197,4.251,4.305,4.361,4.417,4.473,4.53,4.588,4.647,4.706,4.766,4.827,4.888,4.95,5.012,5.076,5.14,5.205,5.27,5.336,5.403,5.47,5.538,5.607,5.677,5.747,5.817,5.889,5.961,6.034,6.108,6.182,6.257,6.332,6.409,6.485,6.563,6.641,6.72
courtyard,N3719219,N3977188,8.2,3.5,3.527,3.555,3.583,3.611,3.64,3.669,3.699,3.729,3.759,3.79,3.821,3.853,3.885,3.917,3.95,3.983,4.017,4.051,4.085,4.12,4.155,4.191,4.227,4.263,4.3,4.337,4.375,4.413,4.451,4.49,4.529,4.569,4.609,4.649,4.69,4.731,4.773,4.815,4.857,4.9,4.943,4.987,5.031,5.075,5.12,5.165,5.211,5.257,5.303,5.35,5.397,5.445,5.493,5.541,5.59,5.639,5.689,5.739,5.789,5.84,5.891,5.943,5.995,6.047,6.1,6.153,6.207,6.261,6.315,6.37,6.425,6.481,6.537,6.593,6.65,6.707,6.765,6.823,6.881,6.94,6.999,7.059,7.119,7.179,7.24,7.301,7.363,7.425,7.487,7.55,7.613,7.677,7.741,7.805,7.87,7.935,8.001,8.067,8.133
courtyard,N990982,N6673600,7.667,2.0,2.057,2.113,2.17,2.227,2.283,2.34,2.397,2.453,2.51,2.567,2.623,2.68,2.737,2.793,2.85,2.907,2.963,3.02,3.077,3.133,3.19,3.247,3.303,3.36,3.417,3.473,3.53,3.587,3.643,3.7,3.757,3.813,3.87,3.927,3.983,4.04,4.097,4.153,4.21,4.267,4.323,4.38,4.437,4.493,4.55,4.607,4.663,4.72,4.777,4.833,4.89,4.947,5.003,5.06,5.117,5.173,5.23,5.287,5.343,5.4,5.457,5.513,5.57,5.627,5.683,5.74,5.797,5.853,5.91,5.967,6.023,6.08,6.137,6.193,6.25,6.307,6.363,6.42,6.477,6.533,6.59,6.647,6.703,6.76,6.817,6.873,6.93,6.987,7.043,7.1,7.157,7.213,7.27,7.327,7.383,7.44,7.497,7.553,7.61
courtyard,N990982,N3622934,14.0,8.667,8.72,8.773,8.827,8.88,8.933,8.987,9.04,9.093,9.147,9.2,9.253,9.307,9.36,9.413,9.467,9.52,9.573,9.627,9.68,9.733,9.787,9.84,9.893,9.947,10.0,10.053,10.107,10.16,10.213,10.267,10.32,10.373,10.427,10.48,10.533,10.587,10.64,10.693,10.747,10.8,10.853,10.907,10.96,11.013,11.067,11.12,11.173,11.227,11.28,11.333,11.387,11.44,11.493,11.547,11.6,11.653,11.707,11.76,11.813,11.867,11.92,11.973,12.027,12.08,12.133,12.187,12.24,12.293,12.347,12.4,12.453,12.507,12.56,12.613,12.667,12.72,12.773,12.827,12.88,12.933,12.987,13.04,13.093,13.147,13.2,13.253,13.307,13.36,13.413,13.467,13.52,13.573,13.627,13.68,13.733,13.787,13.84,13.893,13.947
cubicles,N7210304,N2319363,9.0,0.522,0.533,0.545,0.557,0.569,0.582,0.595,0.608,0.621,0.635,0.65,0.664,0.679,0.695,0.711,0.727,0.744,0.761,0.778,0.797,0.815,0.835,0.854,0.875,0.896,0.918,0.94,0.963,0.986,1.011,1.036,1.062,1.089,1.117,1.145,1.175,1.206,1.237,1.27,1.304,1.339,1.375,1.413,1.452,1.492,1.534,1.578,1.623,1.67,1.719,1.769,1.821,1.876,1.933,1.992,2.053,2.116,2.183,2.252,2.323,2.398,2.476,2.557,2.641,2.729,2.82,2.915,3.015,3.118,3.223,3.329,3.438,3.551,3.669,3.79,3.916,4.047,4.182,4.322,4.467,4.617,4.772,4.933,5.1,5.273,5.451,5.636,5.827,6.025,6.23,6.442,6.661,6.887,7.122,7.364,7.615,7.874,8.142,8.418,8.704
cubicles,N7210304,N8435133,10.652,1.304,1.317,1.331,1.344,1.358,1.372,1.386,1.4,1.415,1.43,1.445,1.461,1.477,1.493,1.509,1.526,1.544,1.562,1.58,1.599,1.618,1.638,1.659,1.68,1.701,1.724,1.747,1.771,1.795,1.821,1.847,1.874,1.902,1.931,1.961,1.993,2.025,2.059,2.094,2.13,2.168,2.207,2.247,2.29,2.334,2.379,2.427,2.477,2.529,2.582,2.639,2.697,2.758,2.822,2.888,2.958,3.03,3.105,3.184,3.266,3.352,3.442,3.535,3.633,3.735,3.841,3.953,4.069,4.19,4.305,4.42,4.538,4.66,4.788,4.919,5.056,5.197,5.344,5.496,5.654,5.817,5.987,6.162,6.344,6.532,6.727,6.93,7.139,7.356,7.581,7.814,8.056,8.306,8.565,8.833,9.11,9.398,9.695,10.003,10.322
cubicles,N2319363,N2367950,9.75,1.3,1.315,1.331,1.347,1.363,1.38,1.397,1.415,1.433,1.451,1.47,1.49,1.51,1.53,1.551,1.573,1.595,1.617,1.64,1.664,1.688,1.714,1.739,1.766,1.793,1.821,1.849,1.879,1.909,1.94,1.972,2.005,2.039,2.074,2.109,2.147,2.185,2.224,2.265,2.307,2.35,2.394,2.44,2.488,2.537,2.588,2.64,2.695,2.751,2.809,2.869,2.931,2.995,3.061,3.13,3.201,3.275,3.351,3.43,3.512,3.596,3.684,3.775,3.869,3.966,4.067,4.171,4.279,4.391,4.503,4.612,4.724,4.839,4.958,5.08,5.205,5.334,5.466,5.603,5.743,5.887,6.035,6.187,6.343,6.504,6.669,6.839,7.013,7.192,7.376,7.564,7.758,7.957,8.161,8.371,8.586,8.807,9.034,9.266,9.505
cubicles,N2319363,N3487541,13.55,2.5,2.517,2.535,2.553,2.572,2.592,2.612,2.633,2.654,2.676,2.699,2.722,2.746,2.771,2.796,2.822,2.849,2.877,2.905,2.934,2.965,2.996,3.028,3.06,3.094,3.129,3.165,3.202,3.24,3.279,3.32,3.362,3.405,3.449,3.495,3.542,3.591,3.641,3.693,3.746,3.802,3.859,3.918,3.979,4.042,4.108,4.175,4.245,4.317,4.392,4.469,4.549,4.631,4.717,4.805,4.897,4.991,5.09,5.191,5.296,5.405,5.517,5.634,5.755,5.879,6.009,6.142,6.281,6.424,6.572,6.726,6.885,7.049,7.219,7.395,7.564,7.734,7.909,8.089,8.273,8.463,8.659,8.859,9.065,9.277,9.495,9.718,9.948,10.183,10.426,10.674,10.929,11.191,11.46,11.736,12.019,12.31,12.608,12.914,13.228
library,N9553169,N7453865,11.667,0.867,0.892,0.919,0.947,0.975,1.004,1.034,1.066,1.098,1.131,1.165,1.2,1.236,1.273,1.311,1.35,1.39,1.431,1.474,1.517,1.562,1.608,1.655,1.703,1.753,1.803,1.855,1.909,1.964,2.02,2.077,2.136,2.196,2.258,2.321,2.386,2.453,2.521,2.59,2.661,2.734,2.809,2.885,2.963,3.043,3.125,3.209,3.294,3.382,3.471,3.563,3.656,3.752,3.849,3.949,4.051,4.156,4.262,4.371,4.483,4.597,4.713,4.832,4.953,5.077,5.203,5.332,5.464,5.599,5.736,5.876,6.019,6.166,6.315,6.467,6.622,6.781,6.942,7.107,7.275,7.447,7.622,7.8,7.982,8.167,8.357,8.549,8.746,8.946,9.15,9.358,9.57,9.786,10.006,10.231,10.459,10.692,10.929,11.17,11.416
library,N9553169,N6857034,12.067,2.0,2.015,2.03,2.047,2.065,2.084,2.105,2.126,2.149,2.173,2.199,2.225,2.253,2.283,2.313,2.345,2.379,2.414,2.45,2.488,2.527,2.568,2.61,2.654,2.7,2.747,2.796,2.847,2.899,2.953,3.009,3.067,3.127,3.188,3.252,3.317,3.385,3.454,3.526,3.599,3.675,3.753,3.834,3.916,4.001,4.089,4.178,4.271,4.365,4.463,4.562,4.665,4.77,4.863,4.951,5.04,5.131,5.225,5.321,5.418,5.518,5.621,5.725,5.833,5.942,6.054,6.169,6.286,6.406,6.529,6.655,6.783,6.915,7.049,7.187,7.327,7.471,7.618,7.769,7.923,8.08,8.241,8.405,8.574,8.745,8.921,9.101,9.284,9.472,9.664,9.86,10.06,10.264,10.473,10.687,10.905,11.128,11.355,11.587,11.825
