world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
bunker3	(0,0)	N7803842	NA	p(0,0);	0	0.0	0	0	FALSE	9.73913	0	23	
bunker3	(2,0)	N8595069	N7803842	p(0,0);p(1,0);p(2,0);	1	4.0	2	2	FALSE	9.73913	10	19	1,2,3,4
bunker3	(2,4)	N1657801	N8595069	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	2	5.0	4	6	FALSE	10.842105	9	14	2,1,1,2,3
bunker3	(4,4)	N7360841	N1657801	p(2,4);p(3,4);p(4,4);	3	8.0	2	8	FALSE	11.928571	18	6	1,2,1,2,2,3,3,4
bunker3	(0,4)	N4351810	N1657801	p(2,4);p(1,4);p(0,4);	3	4.0	2	8	FALSE	13.642858	6	10	2,1,1,2
bunker3	(0,4)	N7561425	N7360841	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);	4	4.0	4	12	FALSE	14.166666	6	2	2,1,1,2
bunker3	(0,6)	N9720811	N4351810	p(0,4);p(0,5);p(0,6);	4	2.0	2	10	FALSE	16.9	3	8	1,2
bunker3	(4,4)	N6831977	N4351810	p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	4	8.0	4	12	FALSE	15.3	18	2	1,2,1,2,2,3,3,4
bunker3	(0,6)	N6304494	N7561425	p(0,4);p(0,5);p(0,6);	5	2.0	2	14	TRUE	15.5	3	0	1,2
bunker3	(4,4)	N3719886	N9720811	p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);	5	8.0	6	16	TRUE	18.25	18	0	1,2,1,2,2,3,3,4
bunker3	(0,6)	N4234551	N6831977	p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	5	2.0	6	18	TRUE	19.5	3	0	1,2
