world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
cathedral	(0,0)	N5304576	NA	p(0,0);	0	0.0	0	0	FALSE	9.0	0	24	
cathedral	(0,2)	N54855	N5304576	p(0,0);p(0,1);p(0,2);	1	10.0	2	2	FALSE	9.0	35	14	1,2,3,4,5,2,3,4,5,6
cathedral	(3,2)	N608136	N54855	p(0,2);p(1,2);p(2,2);p(3,2);	2	4.0	3	5	FALSE	11.5	8	10	2,1,2,3
cathedral	(3,0)	N7058269	N608136	p(3,2);p(3,1);p(3,0);	3	4.0	2	7	FALSE	13.299999	7	6	1,1,2,3
cathedral	(3,5)	N9813836	N608136	p(3,2);p(3,3);p(3,4);p(3,5);	3	4.0	3	8	FALSE	14.300001	7	6	1,1,2,3
cathedral	(6,0)	N6429694	N7058269	p(3,0);p(4,0);p(5,0);p(6,0);	4	1.0	3	10	FALSE	18.666668	1	5	1
cathedral	(3,5)	N6051250	N7058269	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4.0	5	12	FALSE	16.333332	7	2	1,1,2,3
cathedral	(6,5)	N2842748	N9813836	p(3,5);p(4,5);p(5,5);p(6,5);	4	1.0	3	11	FALSE	19.666666	1	5	1
cathedral	(3,0)	N5437085	N9813836	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	4	4.0	5	13	FALSE	17.333334	7	2	1,1,2,3
cathedral	(3,5)	N7958790	N6429694	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	5	4.0	8	18	FALSE	20.2	7	1	1,1,2,3
cathedral	(6,5)	N4519330	N6051250	p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	3	15	FALSE	21.5	1	1	1
cathedral	(6,0)	N9525799	N6051250	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	8	20	FALSE	26.5	1	1	1
cathedral	(3,0)	N4703959	N2842748	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	5	4.0	8	19	FALSE	21.2	7	1	1,1,2,3
cathedral	(6,0)	N4027264	N5437085	p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	3	16	FALSE	22.5	1	1	1
cathedral	(6,5)	N2926498	N5437085	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	8	21	FALSE	27.5	1	1	1
cathedral	(6,5)	N5178030	N7958790	p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	3	21	TRUE	22.0	1	0	1
cathedral	(6,0)	N7437210	N4519330	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	26	TRUE	27.0	1	0	1
cathedral	(6,5)	N1433900	N9525799	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	31	TRUE	32.0	1	0	1
cathedral	(6,0)	N1891421	N4703959	p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	3	22	TRUE	23.0	1	0	1
cathedral	(6,5)	N3598504	N4027264	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	27	TRUE	28.0	1	0	1
cathedral	(6,0)	N6680899	N2926498	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	32	TRUE	33.0	1	0	1
