world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
cubicles	(0,0)	N7210304	NA	p(0,0);	0	0.0	0	0	FALSE	9.0	0	23	
cubicles	(2,0)	N2319363	N7210304	p(0,0);p(1,0);p(2,0);	1	3.0	2	2	FALSE	9.0	6	20	1,2,3
cubicles	(0,3)	N8435133	N7210304	p(0,0);p(0,1);p(0,2);p(0,3);	1	5.0	3	3	FALSE	10.652175	15	18	1,2,3,4,5
cubicles	(3,0)	N2367950	N2319363	p(2,0);p(3,0);	2	4.0	1	3	FALSE	9.75	14	16	2,3,4,5
cubicles	(0,3)	N3487541	N2319363	p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	2	5.0	5	7	FALSE	13.549999	15	15	1,2,3,4,5
cubicles	(3,3)	N9556533	N8435133	p(0,3);p(1,3);p(2,3);p(3,3);	2	4.0	3	6	FALSE	11.944446	6	14	2,1,1,2
cubicles	(2,0)	N4303499	N8435133	p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);	2	3.0	5	8	FALSE	15.499999	6	15	1,2,3
cubicles	(3,3)	N4214308	N2367950	p(3,0);p(3,1);p(3,2);p(3,3);	3	4.0	3	6	FALSE	10.5625	6	12	2,1,1,2
cubicles	(3,3)	N1849367	N3487541	p(0,3);p(1,3);p(2,3);p(3,3);	3	3.0	3	10	FALSE	14.733333	4	12	1,1,2
cubicles	(3,5)	N9487763	N9556533	p(3,3);p(3,4);p(3,5);	3	4.0	2	8	FALSE	13.214287	6	10	2,1,1,2
cubicles	(3,1)	N4932175	N9556533	p(3,3);p(3,2);p(3,1);	3	2.0	2	8	FALSE	14.642857	2	12	1,1
cubicles	(3,0)	N9278548	N4303499	p(2,0);p(3,0);	3	3.0	1	9	FALSE	16.599998	11	12	2,4,5
cubicles	(3,5)	N117979	N4214308	p(3,3);p(3,4);p(3,5);	4	4.0	2	8	FALSE	11.583333	6	8	2,1,1,2
cubicles	(3,5)	N1743708	N1849367	p(3,3);p(3,4);p(3,5);	4	4.0	2	12	FALSE	15.583333	6	8	2,1,1,2
cubicles	(4,5)	N9527877	N9487763	p(3,5);p(4,5);	4	4.0	1	9	FALSE	14.700001	8	6	1,2,2,3
cubicles	(1,5)	N8892822	N9487763	p(3,5);p(2,5);p(1,5);	4	2.0	2	10	FALSE	17.1	3	8	1,2
cubicles	(3,1)	N3493111	N9487763	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	4	2.0	4	12	FALSE	19.1	2	8	1,1
cubicles	(3,5)	N7167978	N4932175	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4.0	4	12	FALSE	15.583333	6	8	2,1,1,2
cubicles	(3,5)	N6467313	N9278548	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4.0	5	14	FALSE	17.583332	6	8	2,1,1,2
cubicles	(4,5)	N2528154	N117979	p(3,5);p(4,5);	5	4.0	1	9	FALSE	12.625	8	4	1,2,2,3
cubicles	(1,5)	N3494734	N117979	p(3,5);p(2,5);p(1,5);	5	2.0	2	10	FALSE	15.124999	3	6	1,2
cubicles	(4,5)	N6860219	N1743708	p(3,5);p(4,5);	5	4.0	1	13	FALSE	16.625	8	4	1,2,2,3
cubicles	(1,5)	N215284	N1743708	p(3,5);p(2,5);p(1,5);	5	2.0	2	14	FALSE	19.125	3	6	1,2
cubicles	(1,5)	N8684814	N9527877	p(4,5);p(3,5);p(2,5);p(1,5);	5	2.0	3	12	FALSE	17.166666	3	4	1,2
cubicles	(3,1)	N1414776	N9527877	p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	2.0	5	14	FALSE	19.833332	2	4	1,1
cubicles	(1,7)	N9981263	N8892822	p(1,5);p(1,6);p(1,7);	5	2.0	2	12	FALSE	18.5	2	6	1,1
cubicles	(4,5)	N2137138	N8892822	p(1,5);p(2,5);p(3,5);p(4,5);	5	4.0	3	13	FALSE	19.0	8	4	1,2,2,3
cubicles	(3,1)	N5568770	N8892822	p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	2.0	6	16	FALSE	22.5	2	6	1,1
cubicles	(4,5)	N7594375	N3493111	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);	5	4.0	5	17	FALSE	20.625	8	4	1,2,2,3
cubicles	(1,5)	N5458653	N3493111	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	5	2.0	6	18	FALSE	23.125	3	6	1,2
cubicles	(4,5)	N6349558	N7167978	p(3,5);p(4,5);	5	4.0	1	13	FALSE	16.625	8	4	1,2,2,3
cubicles	(1,5)	N4606479	N7167978	p(3,5);p(2,5);p(1,5);	5	2.0	2	14	FALSE	19.125	3	6	1,2
cubicles	(4,5)	N3079079	N6467313	p(3,5);p(4,5);	5	4.0	1	15	FALSE	18.625	8	4	1,2,2,3
cubicles	(1,5)	N3090135	N6467313	p(3,5);p(2,5);p(1,5);	5	2.0	2	16	FALSE	21.125	3	6	1,2
cubicles	(1,5)	N3232210	N2528154	p(4,5);p(3,5);p(2,5);p(1,5);	6	2.0	3	12	FALSE	14.25	3	2	1,2
cubicles	(1,7)	N3105852	N3494734	p(1,5);p(1,6);p(1,7);	6	2.0	2	12	FALSE	17.0	2	4	1,1
cubicles	(4,5)	N9901879	N3494734	p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	3	13	FALSE	16.333332	8	2	1,2,2,3
cubicles	(1,5)	N6573109	N6860219	p(4,5);p(3,5);p(2,5);p(1,5);	6	2.0	3	16	FALSE	18.25	3	2	1,2
cubicles	(1,7)	N4135728	N215284	p(1,5);p(1,6);p(1,7);	6	2.0	2	16	FALSE	21.0	2	4	1,1
cubicles	(4,5)	N9133015	N215284	p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	3	17	FALSE	20.333332	8	2	1,2,2,3
cubicles	(1,7)	N5645852	N8684814	p(1,5);p(1,6);p(1,7);	6	2.0	2	14	FALSE	19.0	2	2	1,1
cubicles	(3,1)	N1688762	N8684814	p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	2.0	6	18	FALSE	23.0	2	2	1,1
cubicles	(1,5)	N5075009	N1414776	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	6	2.0	6	20	FALSE	22.25	3	2	1,2
cubicles	(4,5)	N2053914	N9981263	p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	5	17	FALSE	20.333332	8	2	1,2,2,3
cubicles	(3,1)	N2381213	N9981263	p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	2.0	8	20	FALSE	24.999998	2	4	1,1
cubicles	(1,7)	N8083285	N2137138	p(4,5);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	6	2.0	5	18	FALSE	23.0	2	2	1,1
cubicles	(3,1)	N4752925	N2137138	p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	2.0	5	18	FALSE	23.0	2	2	1,1
cubicles	(4,5)	N7599365	N5568770	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);	6	4.0	5	21	FALSE	24.333332	8	2	1,2,2,3
cubicles	(1,7)	N2482291	N5568770	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	6	2.0	8	24	FALSE	29.0	2	4	1,1
cubicles	(1,5)	N6566076	N7594375	p(4,5);p(3,5);p(2,5);p(1,5);	6	2.0	3	20	FALSE	22.25	3	2	1,2
cubicles	(1,7)	N7962822	N5458653	p(1,5);p(1,6);p(1,7);	6	2.0	2	20	FALSE	24.999998	2	4	1,1
cubicles	(4,5)	N4969764	N5458653	p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	3	21	FALSE	24.333332	8	2	1,2,2,3
cubicles	(1,5)	N9906522	N6349558	p(4,5);p(3,5);p(2,5);p(1,5);	6	2.0	3	16	FALSE	18.25	3	2	1,2
cubicles	(1,7)	N6517911	N4606479	p(1,5);p(1,6);p(1,7);	6	2.0	2	16	FALSE	21.0	2	4	1,1
cubicles	(4,5)	N7119625	N4606479	p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	3	17	FALSE	20.333332	8	2	1,2,2,3
cubicles	(1,5)	N8531877	N3079079	p(4,5);p(3,5);p(2,5);p(1,5);	6	2.0	3	18	FALSE	20.25	3	2	1,2
cubicles	(1,7)	N5562947	N3090135	p(1,5);p(1,6);p(1,7);	6	2.0	2	18	FALSE	23.0	2	4	1,1
cubicles	(4,5)	N3900642	N3090135	p(1,5);p(2,5);p(3,5);p(4,5);	6	4.0	3	19	FALSE	22.333332	8	2	1,2,2,3
cubicles	(1,7)	N425421	N3232210	p(1,5);p(1,6);p(1,7);	7	2.0	2	14	TRUE	15.0	2	0	1,1
cubicles	(4,5)	N8577117	N3105852	p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(4,5);	7	4.0	5	17	TRUE	19.0	8	0	1,2,2,3
cubicles	(1,7)	N6923906	N9901879	p(4,5);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	7	2.0	5	18	TRUE	19.0	2	0	1,1
