world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
garden	(0,0)	N331458	NA	p(0,0);	0	0.0	0	0	FALSE	10.8076935	0	26	
garden	(0,2)	N1963853	N331458	p(0,0);p(0,1);p(0,2);	1	7.0	2	2	FALSE	10.8076935	28	19	1,2,3,4,5,6,7
garden	(2,2)	N5115068	N1963853	p(0,2);p(1,2);p(2,2);	2	5.0	2	4	FALSE	12.578948	9	14	2,1,1,2,3
garden	(2,4)	N7850553	N5115068	p(2,2);p(2,3);p(2,4);	3	4.0	2	6	FALSE	15.000001	6	10	1,1,2,2
garden	(2,0)	N7603509	N5115068	p(2,2);p(2,1);p(2,0);	3	2.0	2	6	FALSE	15.571428	3	12	1,2
garden	(5,2)	N4747663	N5115068	p(2,2);p(3,2);p(4,2);p(5,2);	3	3.0	3	7	FALSE	17.714285	6	11	1,2,3
garden	(2,0)	N6320060	N7850553	p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	4	2.0	4	10	FALSE	18.0	3	8	1,2
garden	(5,2)	N4613075	N7850553	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	4	3.0	5	11	FALSE	18.400002	6	7	1,2,3
garden	(2,4)	N2138712	N7603509	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	4	4.0	4	10	FALSE	16.916666	6	8	1,1,2,2
garden	(5,2)	N3123108	N7603509	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	4	3.0	5	11	FALSE	20.083336	6	9	1,2,3
garden	(5,4)	N8246099	N4747663	p(5,2);p(5,3);p(5,4);	4	2.0	2	9	FALSE	20.090908	3	9	1,2
garden	(7,2)	N4619086	N4747663	p(5,2);p(6,2);p(7,2);	4	2.0	2	9	FALSE	20.090908	3	9	2,1
garden	(2,4)	N1289190	N4747663	p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	4	4.0	5	12	FALSE	20.454544	6	7	1,1,2,2
garden	(2,0)	N5433401	N4747663	p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);	4	2.0	5	12	FALSE	21.181818	3	9	1,2
garden	(5,2)	N9476286	N6320060	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	5	3.0	5	15	FALSE	19.625	6	5	1,2,3
garden	(5,4)	N8153414	N4613075	p(5,2);p(5,3);p(5,4);	5	2.0	2	13	FALSE	20.714287	3	5	1,2
garden	(7,2)	N5298440	N4613075	p(5,2);p(6,2);p(7,2);	5	2.0	2	13	FALSE	21.285717	3	5	2,1
