world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
ikea	(0,0)	N7335783	NA	p(0,0);	0	0.0	0	0	FALSE	11.896551	0	29	
ikea	(0,3)	N3251247	N7335783	p(0,0);p(0,1);p(0,2);p(0,3);	1	5.0	3	3	FALSE	11.896551	15	24	1,2,3,4,5
ikea	(3,3)	N9812190	N3251247	p(0,3);p(1,3);p(2,3);p(3,3);	2	5.0	3	6	FALSE	13.124999	9	19	3,2,1,1,2
ikea	(3,5)	N1448237	N9812190	p(3,3);p(3,4);p(3,5);	3	5.0	2	8	FALSE	16.105263	9	14	3,2,1,1,2
ikea	(3,1)	N6109064	N9812190	p(3,3);p(3,2);p(3,1);	3	6.0	2	8	FALSE	14.526315	11	13	2,2,3,1,1,2
ikea	(5,5)	N4631048	N1448237	p(3,5);p(4,5);p(5,5);	4	2.0	2	10	FALSE	18.357143	3	12	1,2
ikea	(0,5)	N234416	N1448237	p(3,5);p(2,5);p(1,5);p(0,5);	4	2.0	3	11	FALSE	19.785715	3	12	1,2
ikea	(3,1)	N2396034	N1448237	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	4	6.0	4	12	FALSE	18.785713	11	8	2,2,3,1,1,2
ikea	(3,5)	N100354	N6109064	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	16.692307	9	8	3,2,1,1,2
ikea	(5,7)	N9016413	N4631048	p(5,5);p(5,6);p(5,7);	5	5.0	2	12	FALSE	19.500002	15	7	5,4,3,2,1
ikea	(0,5)	N5861572	N4631048	p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);	5	2.0	5	15	FALSE	23.166666	3	10	1,2
ikea	(3,1)	N6560058	N4631048	p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6.0	6	16	FALSE	22.166668	11	6	2,2,3,1,1,2
ikea	(0,7)	N3896859	N234416	p(0,5);p(0,6);p(0,7);	5	5.0	2	13	FALSE	21.0	15	7	1,2,3,4,5
ikea	(5,5)	N9299941	N234416	p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);	5	2.0	5	16	FALSE	23.666666	3	10	1,2
ikea	(3,1)	N6099980	N234416	p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6.0	7	18	FALSE	23.666666	11	6	2,2,3,1,1,2
ikea	(5,5)	N5268104	N2396034	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	5	2.0	6	18	FALSE	22.5	3	6	1,2
ikea	(0,5)	N239392	N2396034	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	5	2.0	7	19	FALSE	23.5	3	6	1,2
ikea	(5,5)	N4486578	N100354	p(3,5);p(4,5);p(5,5);	5	2.0	2	14	FALSE	18.5	3	6	1,2
ikea	(0,5)	N1400368	N100354	p(3,5);p(2,5);p(1,5);p(0,5);	5	2.0	3	15	FALSE	19.5	3	6	1,2
ikea	(0,7)	N519801	N9016413	p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);p(0,7);	6	1.0	5	17	FALSE	26.428572	1	6	1
ikea	(3,1)	N5326429	N9016413	p(5,7);p(5,6);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	6.0	8	20	FALSE	22.714287	11	1	2,2,3,1,1,2
ikea	(0,7)	N4207326	N5861572	p(0,5);p(0,6);p(0,7);	6	4.0	2	17	FALSE	24.5	10	6	1,2,3,4
ikea	(3,1)	N8432610	N5861572	p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	6.0	7	22	FALSE	27.3	11	4	2,2,3,1,1,2
ikea	(0,5)	N7918126	N6560058	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	6	2.0	7	23	FALSE	26.5	3	4	1,2
ikea	(5,7)	N852823	N6560058	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);	6	5.0	8	24	FALSE	27.5	15	1	5,4,3,2,1
