world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
lab	(0,0)	N2989705	NA	p(0,0);	0	0.0	0	0	FALSE	10.680001	0	25	
lab	(2,0)	N744888	N2989705	p(0,0);p(1,0);p(2,0);	1	7.0	2	2	FALSE	10.680001	28	18	1,2,3,4,5,6,7
lab	(2,2)	N8548928	N744888	p(2,0);p(2,1);p(2,2);	2	5.0	2	4	FALSE	12.500001	9	13	2,1,1,2,3
lab	(4,2)	N9935630	N8548928	p(2,2);p(3,2);p(4,2);	3	4.0	2	6	FALSE	15.076923	6	9	1,2,1,2
lab	(0,2)	N2655524	N8548928	p(2,2);p(1,2);p(0,2);	3	2.0	2	6	FALSE	15.692307	3	11	1,2
lab	(2,5)	N4538173	N8548928	p(2,2);p(2,3);p(2,4);p(2,5);	3	2.0	3	7	FALSE	18.76923	3	11	1,2
lab	(0,2)	N9994475	N9935630	p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);	4	2.0	4	10	FALSE	18.444445	3	7	1,2
lab	(2,5)	N7839123	N9935630	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	2.0	5	11	FALSE	19.777779	3	7	1,2
lab	(4,2)	N7219279	N2655524	p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);	4	4.0	4	10	FALSE	17.181818	6	7	1,2,1,2
lab	(2,5)	N872590	N2655524	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	2.0	5	11	FALSE	21.181818	3	9	1,2
lab	(2,7)	N3633749	N4538173	p(2,5);p(2,6);p(2,7);	4	2.0	2	9	FALSE	20.636364	3	9	2,1
lab	(4,5)	N63617	N4538173	p(2,5);p(3,5);p(4,5);	4	1.0	2	9	FALSE	21.72727	1	10	1
lab	(4,2)	N6476882	N4538173	p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	4	4.0	5	12	FALSE	20.818182	6	7	1,2,1,2
lab	(0,2)	N2899302	N4538173	p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	4	2.0	5	12	FALSE	21.545456	3	9	1,2
lab	(2,5)	N1798954	N9994475	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	5	2.0	5	15	FALSE	20.428572	3	5	1,2
lab	(2,7)	N3878758	N7839123	p(2,5);p(2,6);p(2,7);	5	2.0	2	13	FALSE	21.857143	3	5	2,1
lab	(4,5)	N6747577	N7839123	p(2,5);p(3,5);p(4,5);	5	1.0	2	13	FALSE	22.142857	1	6	1
