world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
labyrinth3	(0,0)	N4818702	NA	p(0,0);	0	0.0	0	0	FALSE	9.90909	0	22	
labyrinth3	(3,0)	N5198829	N4818702	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	9.90909	15	17	1,2,3,4,5
labyrinth3	(3,3)	N8899359	N5198829	p(3,0);p(3,1);p(3,2);p(3,3);	2	6.0	3	6	FALSE	11.058824	12	11	3,2,1,1,2,3
labyrinth3	(3,5)	N8858377	N8899359	p(3,3);p(3,4);p(3,5);	3	5.0	2	8	FALSE	12.727272	9	6	2,1,1,2,3
labyrinth3	(5,3)	N5316967	N8899359	p(3,3);p(4,3);p(5,3);	3	4.0	2	8	FALSE	13.09091	8	7	2,3,1,2
labyrinth3	(1,3)	N7730376	N8899359	p(3,3);p(2,3);p(1,3);	3	2.0	2	8	FALSE	14.545454	3	9	2,1
labyrinth3	(5,3)	N4938213	N8858377	p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	15.166667	8	2	2,3,1,2
labyrinth3	(1,3)	N1078752	N8858377	p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);	4	2.0	4	12	FALSE	16.5	3	4	2,1
labyrinth3	(3,5)	N4592326	N5316967	p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	14.857143	9	2	2,1,1,2,3
labyrinth3	(1,3)	N8407469	N5316967	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	2.0	4	12	FALSE	16.571428	3	5	2,1
labyrinth3	(3,5)	N6001970	N7730376	p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	15.666666	9	4	2,1,1,2,3
labyrinth3	(5,3)	N1950158	N7730376	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	16.11111	8	5	2,3,1,2
labyrinth3	(1,3)	N2304970	N4938213	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	2.0	4	16	TRUE	17.5	3	0	2,1
labyrinth3	(5,3)	N1341036	N1078752	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	5	4.0	4	16	TRUE	18.0	8	0	2,3,1,2
labyrinth3	(1,3)	N1911321	N4592326	p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);	5	2.0	4	16	TRUE	17.5	3	0	2,1
labyrinth3	(3,5)	N2743487	N8407469	p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	5	5.0	4	16	TRUE	17.8	9	0	2,1,1,2,3
labyrinth3	(5,3)	N9656469	N6001970	p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	5	4.0	4	16	TRUE	18.0	8	0	2,3,1,2
labyrinth3	(3,5)	N9166497	N1950158	p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	5	5.0	4	16	TRUE	17.8	9	0	2,1,1,2,3
