world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
library	(0,0)	N1658372	NA	p(0,0);	0	0.0	0	0	FALSE	9.5	0	24	
library	(1,0)	N1133954	N1658372	p(0,0);p(1,0);	1	4.0	1	1	FALSE	9.5	14	20	2,3,4,5
library	(1,3)	N9553169	N1133954	p(1,0);p(1,1);p(1,2);p(1,3);	2	5.0	3	4	FALSE	10.5	15	15	1,2,3,4,5
library	(1,4)	N7453865	N9553169	p(1,3);p(1,4);	3	2.0	1	5	FALSE	11.666667	3	13	1,2
library	(3,3)	N6857034	N9553169	p(1,3);p(2,3);p(3,3);	3	4.0	2	6	FALSE	12.066667	6	11	1,2,1,2
library	(3,3)	N4124525	N7453865	p(1,4);p(1,3);p(2,3);p(3,3);	4	4.0	3	8	FALSE	12.461538	6	9	1,2,1,2
library	(6,3)	N2272684	N6857034	p(3,3);p(4,3);p(5,3);p(6,3);	4	5.0	3	9	FALSE	13.727272	9	6	3,2,1,1,2
library	(1,4)	N54623	N6857034	p(3,3);p(2,3);p(1,3);p(1,4);	4	2.0	3	9	FALSE	16.454544	3	9	1,2
library	(6,3)	N2153380	N4124525	p(3,3);p(4,3);p(5,3);p(6,3);	5	5.0	3	11	FALSE	13.777778	9	4	3,2,1,1,2
library	(6,4)	N4522484	N2272684	p(6,3);p(6,4);	5	2.0	1	10	FALSE	16.166666	3	4	1,2
library	(6,1)	N9747004	N2272684	p(6,3);p(6,2);p(6,1);	5	2.0	2	11	FALSE	16.833332	3	4	2,1
library	(1,4)	N1620555	N2272684	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	5	2.0	6	15	FALSE	22.166666	3	4	1,2
library	(6,3)	N5610265	N54623	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	5	5.0	6	15	FALSE	17.777777	9	4	3,2,1,1,2
library	(6,4)	N4822267	N2153380	p(6,3);p(6,4);	6	2.0	1	12	FALSE	15.0	3	2	1,2
library	(6,1)	N3287714	N2153380	p(6,3);p(6,2);p(6,1);	6	2.0	2	13	FALSE	16.0	3	2	2,1
library	(6,1)	N7021235	N4522484	p(6,4);p(6,3);p(6,2);p(6,1);	6	2.0	3	13	FALSE	18.5	3	2	2,1
library	(1,4)	N218541	N4522484	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2.0	7	17	FALSE	22.5	3	2	1,2
library	(6,4)	N8680754	N9747004	p(6,1);p(6,2);p(6,3);p(6,4);	6	2.0	3	14	FALSE	19.0	3	2	1,2
library	(1,4)	N1647237	N9747004	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2.0	8	19	FALSE	24.0	3	2	1,2
library	(6,4)	N6172847	N1620555	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	6	2.0	7	22	FALSE	25.0	3	2	1,2
library	(6,1)	N4614039	N1620555	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	6	2.0	8	23	FALSE	26.0	3	2	2,1
library	(6,4)	N7608419	N5610265	p(6,3);p(6,4);	6	2.0	1	16	FALSE	19.0	3	2	1,2
library	(6,1)	N1352798	N5610265	p(6,3);p(6,2);p(6,1);	6	2.0	2	17	FALSE	20.0	3	2	2,1
library	(6,1)	N3010679	N4822267	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	15	TRUE	16.5	3	0	2,1
library	(6,4)	N3702045	N3287714	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	16	TRUE	17.5	3	0	1,2
library	(1,4)	N5060860	N7021235	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2.0	8	21	TRUE	22.5	3	0	1,2
library	(6,1)	N3180989	N218541	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	7	2.0	8	25	TRUE	26.5	3	0	2,1
library	(1,4)	N3327680	N8680754	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2.0	7	21	TRUE	22.5	3	0	1,2
library	(6,4)	N4859679	N1647237	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	7	2.0	7	26	TRUE	27.5	3	0	1,2
library	(6,1)	N2843490	N6172847	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	25	TRUE	26.5	3	0	2,1
library	(6,4)	N737093	N4614039	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	26	TRUE	27.5	3	0	1,2
library	(6,1)	N9393273	N7608419	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	19	TRUE	20.5	3	0	2,1
library	(6,4)	N5477077	N1352798	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	20	TRUE	21.5	3	0	1,2
