world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
museum	(0,0)	N2199854	NA	p(0,0);	0	0.0	0	0	FALSE	11.807693	0	26	
museum	(2,0)	N3169031	N2199854	p(0,0);p(1,0);p(2,0);	1	5.0	2	2	FALSE	11.807693	15	21	1,2,3,4,5
museum	(2,1)	N599523	N3169031	p(2,0);p(2,1);	2	2.0	1	3	FALSE	13.428573	3	19	1,2
museum	(4,1)	N8999294	N599523	p(2,1);p(3,1);p(4,1);	3	5.0	2	5	FALSE	14.368422	11	14	1,1,2,3,4
museum	(2,4)	N1035050	N599523	p(2,1);p(2,2);p(2,3);p(2,4);	3	4.0	3	6	FALSE	15.736841	8	15	2,1,3,2
museum	(4,0)	N3583653	N8999294	p(4,1);p(4,0);	4	2.0	1	6	FALSE	16.928572	3	12	1,2
museum	(4,4)	N3878259	N8999294	p(4,1);p(4,2);p(4,3);p(4,4);	4	4.0	3	8	FALSE	17.5	8	10	1,2,2,3
museum	(2,4)	N7239905	N8999294	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	4	4.0	5	10	FALSE	19.785715	8	10	2,1,3,2
museum	(0,4)	N9773808	N1035050	p(2,4);p(1,4);p(0,4);	4	2.0	2	8	FALSE	18.333332	3	13	2,1
museum	(4,1)	N9449477	N1035050	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	4	5.0	5	11	FALSE	17.8	11	10	1,1,2,3,4
museum	(4,4)	N1320557	N3583653	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	4	10	FALSE	18.5	8	8	1,2,2,3
museum	(2,4)	N3853289	N3583653	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4.0	6	12	FALSE	20.5	8	8	2,1,3,2
museum	(6,4)	N4337909	N3878259	p(4,4);p(5,4);p(6,4);	5	2.0	2	10	FALSE	20.5	3	8	2,1
museum	(4,0)	N5843320	N3878259	p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	5	2.0	4	12	FALSE	21.7	3	8	1,2
museum	(2,4)	N2766129	N3878259	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4.0	8	16	FALSE	23.300001	8	6	2,1,3,2
museum	(0,4)	N8235434	N7239905	p(2,4);p(1,4);p(0,4);	5	2.0	2	12	FALSE	22.900002	3	8	2,1
museum	(4,0)	N2769566	N7239905	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	5	2.0	6	16	FALSE	24.1	3	8	1,2
museum	(4,4)	N1666022	N7239905	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	8	18	FALSE	24.9	8	6	1,2,2,3
museum	(4,1)	N4946088	N9773808	p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	5	5.0	7	15	FALSE	19.692307	11	8	1,1,2,3,4
museum	(4,0)	N3228077	N9449477	p(4,1);p(4,0);	5	2.0	1	12	FALSE	20.1	3	8	1,2
museum	(4,4)	N3255322	N9449477	p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	3	14	FALSE	20.9	8	6	1,2,2,3
museum	(0,4)	N934578	N9449477	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	5	2.0	7	18	FALSE	28.9	3	8	2,1
museum	(6,4)	N671777	N1320557	p(4,4);p(5,4);p(6,4);	6	2.0	2	12	FALSE	21.75	3	6	2,1
museum	(2,4)	N5830115	N1320557	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4.0	8	18	FALSE	23.75	8	4	2,1,3,2
museum	(0,4)	N8233878	N3853289	p(2,4);p(1,4);p(0,4);	6	2.0	2	14	FALSE	23.75	3	6	2,1
museum	(4,4)	N5580748	N3853289	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	8	20	FALSE	25.75	8	4	1,2,2,3
museum	(4,0)	N3311969	N4337909	p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	6	2.0	6	16	FALSE	22.75	3	6	1,2
museum	(2,4)	N4708138	N4337909	p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4.0	10	20	FALSE	24.75	8	4	2,1,3,2
