world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
roomG	(0,0)	N7374324	NA	p(0,0);	0	0.0	0	0	FALSE	10.962962	0	27	
roomG	(3,0)	N329348	N7374324	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	10.962962	15	22	1,2,3,4,5
roomG	(3,3)	N3215843	N329348	p(3,0);p(3,1);p(3,2);p(3,3);	2	5.0	3	6	FALSE	12.090909	9	17	3,2,1,1,2
roomG	(5,3)	N3886181	N3215843	p(3,3);p(4,3);p(5,3);	3	4.0	2	8	FALSE	14.294119	6	13	2,1,1,2
roomG	(1,3)	N9994126	N3215843	p(3,3);p(2,3);p(1,3);	3	6.0	2	8	FALSE	13.3529415	11	11	2,1,2,1,3,2
roomG	(5,2)	N413710	N3886181	p(5,3);p(5,2);	4	4.0	1	9	FALSE	15.769232	8	9	2,3,1,2
roomG	(5,5)	N1443972	N3886181	p(5,3);p(5,4);p(5,5);	4	2.0	2	10	FALSE	17.615383	3	11	1,2
roomG	(1,3)	N5279315	N3886181	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6.0	4	12	FALSE	17.307692	11	7	2,1,2,1,3,2
roomG	(5,3)	N8320789	N9994126	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	15.272728	6	7	2,1,1,2
roomG	(5,5)	N7886907	N413710	p(5,2);p(5,3);p(5,4);p(5,5);	5	2.0	3	12	FALSE	19.222223	3	7	1,2
roomG	(1,3)	N6105614	N413710	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	5	14	FALSE	17.88889	11	3	2,1,2,1,3,2
roomG	(7,5)	N8317607	N1443972	p(5,5);p(6,5);p(7,5);	5	1.0	2	12	FALSE	21.09091	1	10	1
roomG	(5,2)	N2654501	N1443972	p(5,5);p(5,4);p(5,3);p(5,2);	5	4.0	3	13	FALSE	18.727272	8	7	2,3,1,2
