world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
tworooms	(0,0)	N1780659	NA	p(0,0);	0	0.0	0	0	FALSE	10.679999	0	25	
tworooms	(3,0)	N5985613	N1780659	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	10.679999	15	20	1,2,3,4,5
tworooms	(3,3)	N1627744	N5985613	p(3,0);p(3,1);p(3,2);p(3,3);	2	5.0	3	6	FALSE	11.849999	9	15	3,2,1,1,2
tworooms	(5,3)	N2169075	N1627744	p(3,3);p(4,3);p(5,3);	3	3.0	2	8	FALSE	15.466667	4	12	1,1,2
tworooms	(1,3)	N7416731	N1627744	p(3,3);p(2,3);p(1,3);	3	6.0	2	8	FALSE	13.2	11	9	2,1,2,1,3,2
tworooms	(5,2)	N2277	N2169075	p(5,3);p(5,2);	4	2.0	1	9	FALSE	17.0	3	10	1,2
tworooms	(5,5)	N5159403	N2169075	p(5,3);p(5,4);p(5,5);	4	2.0	2	10	FALSE	18.499998	3	10	1,2
tworooms	(1,3)	N763696	N2169075	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6.0	4	12	FALSE	17.166666	11	6	2,1,2,1,3,2
tworooms	(5,3)	N8854362	N7416731	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	3.0	4	12	FALSE	15.444444	4	6	1,1,2
tworooms	(7,2)	N6388298	N2277	p(5,2);p(6,2);p(7,2);	5	3.0	2	11	FALSE	18.3	6	7	1,2,3
tworooms	(5,5)	N7291500	N2277	p(5,2);p(5,3);p(5,4);p(5,5);	5	2.0	3	12	FALSE	19.900002	3	8	1,2
tworooms	(1,3)	N5127596	N2277	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	5	14	FALSE	18.5	11	4	2,1,2,1,3,2
tworooms	(7,5)	N1738800	N5159403	p(5,5);p(6,5);p(7,5);	5	3.0	2	12	FALSE	19.9	6	7	3,2,1
tworooms	(5,2)	N7004659	N5159403	p(5,5);p(5,4);p(5,3);p(5,2);	5	2.0	3	13	FALSE	20.1	3	8	1,2
tworooms	(1,3)	N1559736	N5159403	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	6	16	FALSE	20.1	11	4	2,1,2,1,3,2
tworooms	(5,2)	N3282791	N763696	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	2.0	5	17	FALSE	20.5	3	4	1,2
tworooms	(5,5)	N3707400	N763696	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2.0	6	18	FALSE	21.5	3	4	1,2
tworooms	(5,2)	N6220483	N8854362	p(5,3);p(5,2);	5	2.0	1	13	FALSE	16.5	3	4	1,2
tworooms	(5,5)	N9413305	N8854362	p(5,3);p(5,4);p(5,5);	5	2.0	2	14	FALSE	17.5	3	4	1,2
tworooms	(7,5)	N3112363	N6388298	p(7,2);p(7,3);p(7,4);p(7,5);	6	1.0	3	14	FALSE	22.571428	1	6	1
tworooms	(1,3)	N2446217	N6388298	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	7	18	FALSE	20.571428	11	1	2,1,2,1,3,2
tworooms	(7,5)	N9403647	N7291500	p(5,5);p(6,5);p(7,5);	6	2.0	2	14	FALSE	21.75	3	6	2,1
tworooms	(1,3)	N9601214	N7291500	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	6	18	FALSE	21.5	11	2	2,1,2,1,3,2
tworooms	(5,5)	N9049266	N5127596	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2.0	6	20	FALSE	22.5	3	2	1,2
tworooms	(7,2)	N7143054	N5127596	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	6	3.0	7	21	FALSE	23.5	6	1	1,2,3
