world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
bunker22	(0,0)	N5661608	NA	p(0,0);	0	0	0	0	FALSE	10	0	20	
bunker22	(3,0)	N2613729	N5661608	p(0,0);p(1,0);p(2,0);p(3,0);	1	5	3	3	FALSE	10	15	15	1,2,3,4,5
bunker22	(3,4)	N8658331	N2613729	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);	2	5	4	7	FALSE	11.333333	9	10	3,2,1,1,2
bunker22	(5,4)	N9947424	N8658331	p(3,4);p(4,4);p(5,4);	3	3	2	9	FALSE	14.200001	6	7	1,2,3
bunker22	(1,4)	N5410772	N8658331	p(3,4);p(2,4);p(1,4);	3	6	2	9	FALSE	12.6	10	4	2,2,1,2,1,2
bunker22	(5,7)	N34340	N9947424	p(5,4);p(5,5);p(5,6);p(5,7);	4	1	3	12	FALSE	19.571428	1	6	1
bunker22	(1,4)	N9513130	N9947424	p(5,4);p(4,4);p(3,4);p(2,4);p(1,4);	4	6	4	13	FALSE	15.571429	10	1	2,2,1,2,1,2
bunker22	(5,4)	N1355188	N5410772	p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);	4	3	4	13	FALSE	15.5	6	1	1,2,3
bunker22	(1,4)	N4281211	N34340	p(5,7);p(5,6);p(5,5);p(5,4);p(4,4);p(3,4);p(2,4);p(1,4);	5	6	7	19	TRUE	20.666666	10	0	2,2,1,2,1,2
bunker22	(5,7)	N6872160	N9513130	p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);p(5,6);p(5,7);	5	1	7	20	TRUE	21	1	0	1
bunker22	(5,7)	N1979283	N1355188	p(5,4);p(5,5);p(5,6);p(5,7);	5	1	3	16	TRUE	17	1	0	1
