world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
cathedral2	(0,0)	N5374954	NA	p(0,0);	0	0	0	0	FALSE	9	0	24	
cathedral2	(0,2)	N8936883	N5374954	p(0,0);p(0,1);p(0,2);	1	10	2	2	FALSE	9	35	14	1,2,3,4,5,2,3,4,5,6
cathedral2	(3,2)	N4607800	N8936883	p(0,2);p(1,2);p(2,2);p(3,2);	2	4	3	5	FALSE	11.5	8	10	2,1,2,3
cathedral2	(3,0)	N2176391	N4607800	p(3,2);p(3,1);p(3,0);	3	4	2	7	FALSE	13.299999	7	6	1,1,2,3
cathedral2	(3,5)	N2790364	N4607800	p(3,2);p(3,3);p(3,4);p(3,5);	3	4	3	8	FALSE	14.300001	7	6	1,1,2,3
cathedral2	(6,0)	N7665299	N2176391	p(3,0);p(4,0);p(5,0);p(6,0);	4	1	3	10	FALSE	18.666668	1	5	1
cathedral2	(3,5)	N6547870	N2176391	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4	5	12	FALSE	16.333332	7	2	1,1,2,3
cathedral2	(6,5)	N1627182	N2790364	p(3,5);p(4,5);p(5,5);p(6,5);	4	1	3	11	FALSE	19.666666	1	5	1
cathedral2	(3,0)	N9722134	N2790364	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	4	4	5	13	FALSE	17.333334	7	2	1,1,2,3
cathedral2	(3,5)	N6214588	N7665299	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	5	4	8	18	FALSE	20.2	7	1	1,1,2,3
cathedral2	(6,5)	N9011698	N6547870	p(3,5);p(4,5);p(5,5);p(6,5);	5	1	3	15	FALSE	21.5	1	1	1
cathedral2	(6,0)	N7711851	N6547870	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	5	1	8	20	FALSE	26.5	1	1	1
cathedral2	(3,0)	N2029197	N1627182	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	5	4	8	19	FALSE	21.2	7	1	1,1,2,3
cathedral2	(6,0)	N2142705	N9722134	p(3,0);p(4,0);p(5,0);p(6,0);	5	1	3	16	FALSE	22.5	1	1	1
cathedral2	(6,5)	N1671661	N9722134	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	5	1	8	21	FALSE	27.5	1	1	1
cathedral2	(6,5)	N1787089	N6214588	p(3,5);p(4,5);p(5,5);p(6,5);	6	1	3	21	TRUE	22	1	0	1
cathedral2	(6,0)	N8791508	N9011698	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1	11	26	TRUE	27	1	0	1
cathedral2	(6,5)	N2747090	N7711851	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1	11	31	TRUE	32	1	0	1
cathedral2	(6,0)	N9144935	N2029197	p(3,0);p(4,0);p(5,0);p(6,0);	6	1	3	22	TRUE	23	1	0	1
cathedral2	(6,5)	N3954277	N2142705	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1	11	27	TRUE	28	1	0	1
cathedral2	(6,0)	N2955456	N1671661	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1	11	32	TRUE	33	1	0	1
