world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
cubicles2	(0,0)	N5568761	NA	p(0,0);	0	0	0	0	FALSE	9	0	23	
cubicles2	(2,0)	N8304009	N5568761	p(0,0);p(1,0);p(2,0);	1	3	2	2	FALSE	9	6	20	1,2,3
cubicles2	(0,3)	N228160	N5568761	p(0,0);p(0,1);p(0,2);p(0,3);	1	5	3	3	FALSE	10.652175	15	18	1,2,3,4,5
cubicles2	(3,0)	N1161508	N8304009	p(2,0);p(3,0);	2	4	1	3	FALSE	9.75	14	16	2,3,4,5
cubicles2	(0,3)	N4843750	N8304009	p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	2	5	5	7	FALSE	13.549999	15	15	1,2,3,4,5
cubicles2	(3,3)	N8004907	N228160	p(0,3);p(1,3);p(2,3);p(3,3);	2	4	3	6	FALSE	11.944446	6	14	2,1,1,2
cubicles2	(2,0)	N7947510	N228160	p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);	2	3	5	8	FALSE	15.499999	6	15	1,2,3
cubicles2	(3,3)	N3359565	N1161508	p(3,0);p(3,1);p(3,2);p(3,3);	3	4	3	6	FALSE	10.5625	6	12	2,1,1,2
cubicles2	(3,3)	N4395964	N4843750	p(0,3);p(1,3);p(2,3);p(3,3);	3	3	3	10	FALSE	14.733333	4	12	1,1,2
cubicles2	(3,5)	N2901846	N8004907	p(3,3);p(3,4);p(3,5);	3	4	2	8	FALSE	13.214287	6	10	2,1,1,2
cubicles2	(3,1)	N4714074	N8004907	p(3,3);p(3,2);p(3,1);	3	2	2	8	FALSE	14.642857	2	12	1,1
cubicles2	(3,0)	N1757686	N7947510	p(2,0);p(3,0);	3	3	1	9	FALSE	16.599998	11	12	2,4,5
cubicles2	(3,5)	N4920564	N3359565	p(3,3);p(3,4);p(3,5);	4	4	2	8	FALSE	11.583333	6	8	2,1,1,2
cubicles2	(3,5)	N6844190	N4395964	p(3,3);p(3,4);p(3,5);	4	4	2	12	FALSE	15.583333	6	8	2,1,1,2
cubicles2	(4,5)	N6176258	N2901846	p(3,5);p(4,5);	4	4	1	9	FALSE	14.700001	8	6	1,2,2,3
cubicles2	(1,5)	N143329	N2901846	p(3,5);p(2,5);p(1,5);	4	2	2	10	FALSE	17.1	3	8	1,2
cubicles2	(3,1)	N6195688	N2901846	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	4	2	4	12	FALSE	19.1	2	8	1,1
cubicles2	(3,5)	N7162540	N4714074	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4	4	12	FALSE	15.583333	6	8	2,1,1,2
cubicles2	(3,5)	N4404081	N1757686	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4	5	14	FALSE	17.583332	6	8	2,1,1,2
cubicles2	(4,5)	N2381262	N4920564	p(3,5);p(4,5);	5	4	1	9	FALSE	12.625	8	4	1,2,2,3
cubicles2	(1,5)	N6519434	N4920564	p(3,5);p(2,5);p(1,5);	5	2	2	10	FALSE	15.124999	3	6	1,2
