world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
garden3	(0,0)	N2743363	NA	p(0,0);	0	0	0	0	FALSE	10.8076935	0	26	
garden3	(0,2)	N2830881	N2743363	p(0,0);p(0,1);p(0,2);	1	7	2	2	FALSE	10.8076935	28	19	1,2,3,4,5,6,7
garden3	(2,2)	N7218398	N2830881	p(0,2);p(1,2);p(2,2);	2	5	2	4	FALSE	12.578948	9	14	2,1,1,2,3
garden3	(2,4)	N977712	N7218398	p(2,2);p(2,3);p(2,4);	3	4	2	6	FALSE	15.000001	6	10	1,1,2,2
garden3	(2,0)	N477249	N7218398	p(2,2);p(2,1);p(2,0);	3	2	2	6	FALSE	15.571428	3	12	1,2
garden3	(5,2)	N2665020	N7218398	p(2,2);p(3,2);p(4,2);p(5,2);	3	3	3	7	FALSE	17.714285	6	11	1,2,3
garden3	(2,0)	N1276242	N977712	p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	4	2	4	10	FALSE	18	3	8	1,2
garden3	(5,2)	N8950027	N977712	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	4	3	5	11	FALSE	18.400002	6	7	1,2,3
garden3	(2,4)	N7486821	N477249	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	4	4	4	10	FALSE	16.916666	6	8	1,1,2,2
garden3	(5,2)	N7859238	N477249	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	4	3	5	11	FALSE	20.083336	6	9	1,2,3
garden3	(5,4)	N4604067	N2665020	p(5,2);p(5,3);p(5,4);	4	2	2	9	FALSE	20.090908	3	9	1,2
garden3	(7,2)	N1529898	N2665020	p(5,2);p(6,2);p(7,2);	4	2	2	9	FALSE	20.090908	3	9	2,1
garden3	(2,4)	N1787569	N2665020	p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	4	4	5	12	FALSE	20.454544	6	7	1,1,2,2
garden3	(2,0)	N1498437	N2665020	p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);	4	2	5	12	FALSE	21.181818	3	9	1,2
garden3	(5,2)	N2605886	N1276242	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	5	3	5	15	FALSE	19.625	6	5	1,2,3
garden3	(5,4)	N6025521	N8950027	p(5,2);p(5,3);p(5,4);	5	2	2	13	FALSE	20.714287	3	5	1,2
garden3	(7,2)	N5410407	N8950027	p(5,2);p(6,2);p(7,2);	5	2	2	13	FALSE	21.285717	3	5	2,1
garden3	(2,0)	N2973305	N8950027	p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);	5	2	5	16	FALSE	24.428572	3	5	1,2
garden3	(5,2)	N7769492	N7486821	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	5	3	5	15	FALSE	19.625	6	5	1,2,3
garden3	(5,4)	N226351	N7859238	p(5,2);p(5,3);p(5,4);	5	2	2	13	FALSE	22.444447	3	7	1,2
garden3	(7,2)	N7331140	N7859238	p(5,2);p(6,2);p(7,2);	5	2	2	13	FALSE	22.444447	3	7	2,1
garden3	(2,4)	N5503418	N7859238	p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	5	4	5	16	FALSE	22.88889	6	5	1,1,2,2
garden3	(7,2)	N3093715	N4604067	p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);	5	2	4	13	FALSE	22.222221	3	7	2,1
garden3	(2,4)	N8670303	N4604067	p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	5	4	7	16	FALSE	22.222225	6	5	1,1,2,2
garden3	(2,0)	N4426046	N4604067	p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);	5	2	7	16	FALSE	23.111113	3	7	1,2
garden3	(7,0)	N6382060	N1529898	p(7,2);p(7,1);p(7,0);	5	1	2	11	FALSE	23.333334	1	8	1
garden3	(5,4)	N8204548	N1529898	p(7,2);p(6,2);p(5,2);p(5,3);p(5,4);	5	2	4	13	FALSE	22.222221	3	7	1,2
garden3	(2,4)	N2296123	N1529898	p(7,2);p(6,2);p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	5	4	7	16	FALSE	22.666668	6	5	1,1,2,2
garden3	(2,0)	N2671026	N1529898	p(7,2);p(6,2);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);	5	2	7	16	FALSE	23.555555	3	7	1,2
garden3	(2,0)	N6509291	N1787569	p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	5	2	4	16	FALSE	24.428572	3	5	1,2
garden3	(5,4)	N9926753	N1787569	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	5	2	7	19	FALSE	26.714287	3	5	1,2
garden3	(7,2)	N1269469	N1787569	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);	5	2	7	19	FALSE	27.285715	3	5	2,1
garden3	(2,4)	N3186215	N1498437	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	5	4	4	16	FALSE	22.88889	6	5	1,1,2,2
garden3	(5,4)	N1307782	N1498437	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	5	2	7	19	FALSE	28.444445	3	7	1,2
garden3	(7,2)	N4068213	N1498437	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);	5	2	7	19	FALSE	28.444445	3	7	2,1
