world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
ikea3	(0,0)	N2725371	NA	p(0,0);	0	0	0	0	FALSE	11.896551	0	29	
ikea3	(0,3)	N425575	N2725371	p(0,0);p(0,1);p(0,2);p(0,3);	1	5	3	3	FALSE	11.896551	15	24	1,2,3,4,5
ikea3	(3,3)	N4902058	N425575	p(0,3);p(1,3);p(2,3);p(3,3);	2	5	3	6	FALSE	13.124999	9	19	3,2,1,1,2
ikea3	(3,5)	N5199229	N4902058	p(3,3);p(3,4);p(3,5);	3	5	2	8	FALSE	16.105263	9	14	3,2,1,1,2
ikea3	(3,1)	N5543839	N4902058	p(3,3);p(3,2);p(3,1);	3	6	2	8	FALSE	14.526315	11	13	2,2,3,1,1,2
ikea3	(5,5)	N3086098	N5199229	p(3,5);p(4,5);p(5,5);	4	2	2	10	FALSE	18.357143	3	12	1,2
ikea3	(0,5)	N5359673	N5199229	p(3,5);p(2,5);p(1,5);p(0,5);	4	2	3	11	FALSE	19.785715	3	12	1,2
ikea3	(3,1)	N5069184	N5199229	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	4	6	4	12	FALSE	18.785713	11	8	2,2,3,1,1,2
ikea3	(3,5)	N150296	N5543839	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	5	4	12	FALSE	16.692307	9	8	3,2,1,1,2
ikea3	(5,7)	N1450180	N3086098	p(5,5);p(5,6);p(5,7);	5	5	2	12	FALSE	19.500002	15	7	5,4,3,2,1
ikea3	(0,5)	N779913	N3086098	p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);	5	2	5	15	FALSE	23.166666	3	10	1,2
ikea3	(3,1)	N7861852	N3086098	p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6	6	16	FALSE	22.166668	11	6	2,2,3,1,1,2
ikea3	(0,7)	N8053337	N5359673	p(0,5);p(0,6);p(0,7);	5	5	2	13	FALSE	21	15	7	1,2,3,4,5
ikea3	(5,5)	N2424507	N5359673	p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);	5	2	5	16	FALSE	23.666666	3	10	1,2
ikea3	(3,1)	N7412339	N5359673	p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	5	6	7	18	FALSE	23.666666	11	6	2,2,3,1,1,2
ikea3	(5,5)	N159471	N5069184	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	5	2	6	18	FALSE	22.5	3	6	1,2
ikea3	(0,5)	N2945337	N5069184	p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	5	2	7	19	FALSE	23.5	3	6	1,2
ikea3	(5,5)	N9651367	N150296	p(3,5);p(4,5);p(5,5);	5	2	2	14	FALSE	18.5	3	6	1,2
ikea3	(0,5)	N1532048	N150296	p(3,5);p(2,5);p(1,5);p(0,5);	5	2	3	15	FALSE	19.5	3	6	1,2
ikea3	(0,7)	N6686105	N1450180	p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);p(0,7);	6	1	5	17	FALSE	26.428572	1	6	1
ikea3	(3,1)	N4645070	N1450180	p(5,7);p(5,6);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	6	8	20	FALSE	22.714287	11	1	2,2,3,1,1,2
ikea3	(0,7)	N1572912	N779913	p(0,5);p(0,6);p(0,7);	6	4	2	17	FALSE	24.5	10	6	1,2,3,4
ikea3	(3,1)	N8751062	N779913	p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);	6	6	7	22	FALSE	27.3	11	4	2,2,3,1,1,2
