world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
lab2	(0,0)	N3353997	NA	p(0,0);	0	0	0	0	FALSE	10.8076935	0	26	
lab2	(2,0)	N9333444	N3353997	p(0,0);p(1,0);p(2,0);	1	7	2	2	FALSE	10.8076935	28	19	1,2,3,4,5,6,7
lab2	(2,2)	N8396451	N9333444	p(2,0);p(2,1);p(2,2);	2	5	2	4	FALSE	12.578948	9	14	2,1,1,2,3
lab2	(4,2)	N926775	N8396451	p(2,2);p(3,2);p(4,2);	3	4	2	6	FALSE	15.000001	6	10	1,2,1,2
lab2	(0,2)	N3020348	N8396451	p(2,2);p(1,2);p(0,2);	3	2	2	6	FALSE	15.571428	3	12	1,2
lab2	(2,5)	N430786	N8396451	p(2,2);p(2,3);p(2,4);p(2,5);	3	3	3	7	FALSE	17.714285	6	11	1,2,3
lab2	(0,2)	N30456	N926775	p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);	4	2	4	10	FALSE	18	3	8	1,2
lab2	(2,5)	N6196341	N926775	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	3	5	11	FALSE	18.400002	6	7	1,2,3
lab2	(4,2)	N8571995	N3020348	p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);	4	4	4	10	FALSE	16.916666	6	8	1,2,1,2
lab2	(2,5)	N4565111	N3020348	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	4	3	5	11	FALSE	20.083336	6	9	1,2,3
lab2	(2,7)	N425915	N430786	p(2,5);p(2,6);p(2,7);	4	2	2	9	FALSE	20.090908	3	9	2,1
lab2	(4,5)	N9839072	N430786	p(2,5);p(3,5);p(4,5);	4	2	2	9	FALSE	20.090908	3	9	1,2
lab2	(4,2)	N8331687	N430786	p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	4	4	5	12	FALSE	20.454544	6	7	1,2,1,2
lab2	(0,2)	N2337898	N430786	p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	4	2	5	12	FALSE	21.181818	3	9	1,2
lab2	(2,5)	N1309186	N30456	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);	5	3	5	15	FALSE	19.625	6	5	1,2,3
lab2	(2,7)	N255806	N6196341	p(2,5);p(2,6);p(2,7);	5	2	2	13	FALSE	21.285717	3	5	2,1
lab2	(4,5)	N7547934	N6196341	p(2,5);p(3,5);p(4,5);	5	2	2	13	FALSE	20.714287	3	5	1,2
lab2	(0,2)	N7295809	N6196341	p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	5	2	5	16	FALSE	24.428572	3	5	1,2
lab2	(2,5)	N8102912	N8571995	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	5	3	5	15	FALSE	19.625	6	5	1,2,3
lab2	(2,7)	N2384608	N4565111	p(2,5);p(2,6);p(2,7);	5	2	2	13	FALSE	22.444447	3	7	2,1
lab2	(4,5)	N460748	N4565111	p(2,5);p(3,5);p(4,5);	5	2	2	13	FALSE	22.444447	3	7	1,2
lab2	(4,2)	N7557922	N4565111	p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	5	4	5	16	FALSE	22.88889	6	5	1,2,1,2
lab2	(0,7)	N5993473	N425915	p(2,7);p(1,7);p(0,7);	5	1	2	11	FALSE	23.333334	1	8	1
lab2	(4,5)	N6785811	N425915	p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	5	2	4	13	FALSE	22.222221	3	7	1,2
lab2	(4,2)	N8456466	N425915	p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	5	4	7	16	FALSE	22.666668	6	5	1,2,1,2
lab2	(0,2)	N8335349	N425915	p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	5	2	7	16	FALSE	23.555555	3	7	1,2
lab2	(2,7)	N606259	N9839072	p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	5	2	4	13	FALSE	22.222221	3	7	2,1
lab2	(4,2)	N3214940	N9839072	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	5	4	7	16	FALSE	22.222225	6	5	1,2,1,2
lab2	(0,2)	N9746069	N9839072	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	5	2	7	16	FALSE	23.111113	3	7	1,2
lab2	(0,2)	N2226262	N8331687	p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);	5	2	4	16	FALSE	24.428572	3	5	1,2
lab2	(2,7)	N3543142	N8331687	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	5	2	7	19	FALSE	27.285715	3	5	2,1
lab2	(4,5)	N1534045	N8331687	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	5	2	7	19	FALSE	26.714287	3	5	1,2
lab2	(4,2)	N9216129	N2337898	p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);	5	4	4	16	FALSE	22.88889	6	5	1,2,1,2
lab2	(2,7)	N9804842	N2337898	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	5	2	7	19	FALSE	28.444445	3	7	2,1
lab2	(4,5)	N9288807	N2337898	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	5	2	7	19	FALSE	28.444445	3	7	1,2
lab2	(2,7)	N6237024	N1309186	p(2,5);p(2,6);p(2,7);	6	2	2	17	FALSE	22	3	3	2,1
lab2	(4,5)	N6582105	N1309186	p(2,5);p(3,5);p(4,5);	6	2	2	17	FALSE	21.2	3	3	1,2
lab2	(0,7)	N6883996	N255806	p(2,7);p(1,7);p(0,7);	6	1	2	15	FALSE	24.000002	1	4	1
lab2	(4,5)	N7203998	N255806	p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	6	2	4	17	FALSE	24.4	3	3	1,2
lab2	(0,2)	N3164351	N255806	p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	6	2	7	20	FALSE	26.800001	3	3	1,2
lab2	(2,7)	N4829402	N7547934	p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	6	2	4	17	FALSE	23.2	3	3	2,1
lab2	(0,2)	N3751786	N7547934	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	6	2	7	20	FALSE	26.000002	3	3	1,2
lab2	(2,7)	N1925634	N7295809	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	6	2	7	23	FALSE	28	3	3	2,1
lab2	(4,5)	N8608637	N7295809	p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	6	2	7	23	FALSE	27.2	3	3	1,2
lab2	(2,7)	N8625655	N8102912	p(2,5);p(2,6);p(2,7);	6	2	2	17	FALSE	22	3	3	2,1
lab2	(4,5)	N6079336	N8102912	p(2,5);p(3,5);p(4,5);	6	2	2	17	FALSE	21.2	3	3	1,2
lab2	(0,7)	N226443	N2384608	p(2,7);p(1,7);p(0,7);	6	1	2	15	FALSE	25.571428	1	6	1
lab2	(4,5)	N8365775	N2384608	p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	6	2	4	17	FALSE	24.714287	3	5	1,2
lab2	(4,2)	N2124671	N2384608	p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	6	4	7	20	FALSE	25.285713	6	3	1,2,1,2
lab2	(2,7)	N1203747	N460748	p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	6	2	4	17	FALSE	24.714287	3	5	2,1
lab2	(4,2)	N5720823	N460748	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	6	4	7	20	FALSE	24.714287	6	3	1,2,1,2
lab2	(2,7)	N4204138	N7557922	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	6	2	7	23	FALSE	28	3	3	2,1
lab2	(4,5)	N501494	N7557922	p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	6	2	7	23	FALSE	27.2	3	3	1,2
lab2	(4,5)	N3675483	N5993473	p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	6	2	6	17	FALSE	24.75	3	6	1,2
lab2	(4,2)	N1451307	N5993473	p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	6	4	9	20	FALSE	25.25	6	4	1,2,1,2
lab2	(0,2)	N2090778	N5993473	p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	6	2	9	20	FALSE	26.25	3	6	1,2
lab2	(0,7)	N85509	N6785811	p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	6	1	6	19	FALSE	29.285715	1	6	1
lab2	(4,2)	N4556245	N6785811	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	6	4	7	20	FALSE	24.42857	6	3	1,2,1,2
lab2	(0,2)	N3226809	N6785811	p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);	6	2	7	20	FALSE	25.57143	3	5	1,2
lab2	(0,2)	N8544552	N8456466	p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);	6	2	4	20	FALSE	26.800001	3	3	1,2
