world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
labyrinth2	(0,0)	N9688461	NA	p(0,0);	0	0	0	0	FALSE	8.444445	0	18	
labyrinth2	(2,0)	N3701260	N9688461	p(0,0);p(1,0);p(2,0);	1	5	2	2	FALSE	8.444445	15	13	1,2,3,4,5
labyrinth2	(2,3)	N3939090	N3701260	p(2,0);p(2,1);p(2,2);p(2,3);	2	6	3	5	FALSE	9.769231	13	7	2,1,1,2,3,4
labyrinth2	(2,5)	N3809958	N3939090	p(2,3);p(2,4);p(2,5);	3	4	2	7	FALSE	11.999999	7	3	1,1,2,3
labyrinth2	(0,3)	N1173854	N3939090	p(2,3);p(1,3);p(0,3);	3	1	2	7	FALSE	13.714286	1	6	1
labyrinth2	(6,3)	N4950539	N3939090	p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	3	2	4	9	FALSE	15.428572	3	5	2,1
labyrinth2	(0,3)	N3731475	N3809958	p(2,5);p(2,4);p(2,3);p(1,3);p(0,3);	4	1	4	11	FALSE	16.333332	1	2	1
labyrinth2	(6,3)	N9518864	N3809958	p(2,5);p(2,4);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	4	2	6	13	FALSE	16.333332	3	1	2,1
labyrinth2	(2,5)	N3060000	N1173854	p(0,3);p(1,3);p(2,3);p(2,4);p(2,5);	4	4	4	11	FALSE	14.666666	7	2	1,1,2,3
labyrinth2	(6,3)	N8514234	N1173854	p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	4	2	6	13	FALSE	18.666666	3	4	2,1
labyrinth2	(2,5)	N4493117	N4950539	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);	4	4	6	15	FALSE	17.4	7	1	1,1,2,3
labyrinth2	(0,3)	N1723774	N4950539	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(0,3);	4	1	6	15	FALSE	19.800001	1	4	1
labyrinth2	(6,3)	N2723119	N3731475	p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	5	2	6	17	TRUE	18.5	3	0	2,1
labyrinth2	(0,3)	N1695990	N9518864	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(0,3);	5	1	6	19	TRUE	20	1	0	1
labyrinth2	(6,3)	N1455339	N3060000	p(2,5);p(2,4);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	5	2	6	17	TRUE	18.5	3	0	2,1
labyrinth2	(2,5)	N5895843	N8514234	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);	5	4	6	19	TRUE	20.75	7	0	1,1,2,3
labyrinth2	(0,3)	N814696	N4493117	p(2,5);p(2,4);p(2,3);p(1,3);p(0,3);	5	1	4	19	TRUE	20	1	0	1
labyrinth2	(2,5)	N7899617	N1723774	p(0,3);p(1,3);p(2,3);p(2,4);p(2,5);	5	4	4	19	TRUE	20.75	7	0	1,1,2,3
