world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
library2	(0,0)	N2281769	NA	p(0,0);	0	0	0	0	FALSE	9.5	0	24	
library2	(1,0)	N7782312	N2281769	p(0,0);p(1,0);	1	4	1	1	FALSE	9.5	14	20	2,3,4,5
library2	(1,3)	N3029589	N7782312	p(1,0);p(1,1);p(1,2);p(1,3);	2	5	3	4	FALSE	10.5	15	15	1,2,3,4,5
library2	(1,4)	N1913743	N3029589	p(1,3);p(1,4);	3	2	1	5	FALSE	11.666667	3	13	1,2
library2	(3,3)	N6681115	N3029589	p(1,3);p(2,3);p(3,3);	3	4	2	6	FALSE	12.066667	6	11	1,2,1,2
library2	(3,3)	N3633024	N1913743	p(1,4);p(1,3);p(2,3);p(3,3);	4	4	3	8	FALSE	12.461538	6	9	1,2,1,2
library2	(6,3)	N1988088	N6681115	p(3,3);p(4,3);p(5,3);p(6,3);	4	5	3	9	FALSE	13.727272	9	6	3,2,1,1,2
library2	(1,4)	N1351713	N6681115	p(3,3);p(2,3);p(1,3);p(1,4);	4	2	3	9	FALSE	16.454544	3	9	1,2
library2	(6,3)	N8152353	N3633024	p(3,3);p(4,3);p(5,3);p(6,3);	5	5	3	11	FALSE	13.777778	9	4	3,2,1,1,2
library2	(6,4)	N1306428	N1988088	p(6,3);p(6,4);	5	2	1	10	FALSE	16.166666	3	4	1,2
library2	(6,1)	N8190892	N1988088	p(6,3);p(6,2);p(6,1);	5	2	2	11	FALSE	16.833332	3	4	2,1
library2	(1,4)	N8213382	N1988088	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	5	2	6	15	FALSE	22.166666	3	4	1,2
library2	(6,3)	N4228748	N1351713	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	5	5	6	15	FALSE	17.777777	9	4	3,2,1,1,2
library2	(6,4)	N7169104	N8152353	p(6,3);p(6,4);	6	2	1	12	FALSE	15	3	2	1,2
library2	(6,1)	N5188898	N8152353	p(6,3);p(6,2);p(6,1);	6	2	2	13	FALSE	16	3	2	2,1
library2	(6,1)	N167804	N1306428	p(6,4);p(6,3);p(6,2);p(6,1);	6	2	3	13	FALSE	18.5	3	2	2,1
library2	(1,4)	N3332226	N1306428	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2	7	17	FALSE	22.5	3	2	1,2
library2	(6,4)	N4029333	N8190892	p(6,1);p(6,2);p(6,3);p(6,4);	6	2	3	14	FALSE	19	3	2	1,2
library2	(1,4)	N6605180	N8190892	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2	8	19	FALSE	24	3	2	1,2
library2	(6,4)	N7928471	N8213382	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	6	2	7	22	FALSE	25	3	2	1,2
library2	(6,1)	N695983	N8213382	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	6	2	8	23	FALSE	26	3	2	2,1
library2	(6,4)	N7473690	N4228748	p(6,3);p(6,4);	6	2	1	16	FALSE	19	3	2	1,2
library2	(6,1)	N9349476	N4228748	p(6,3);p(6,2);p(6,1);	6	2	2	17	FALSE	20	3	2	2,1
library2	(6,1)	N7886229	N7169104	p(6,4);p(6,3);p(6,2);p(6,1);	7	2	3	15	TRUE	16.5	3	0	2,1
library2	(6,4)	N3970437	N5188898	p(6,1);p(6,2);p(6,3);p(6,4);	7	2	3	16	TRUE	17.5	3	0	1,2
library2	(1,4)	N6606221	N167804	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2	8	21	TRUE	22.5	3	0	1,2
library2	(6,1)	N7636908	N3332226	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	7	2	8	25	TRUE	26.5	3	0	2,1
library2	(1,4)	N8636816	N4029333	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2	7	21	TRUE	22.5	3	0	1,2
library2	(6,4)	N7695804	N6605180	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	7	2	7	26	TRUE	27.5	3	0	1,2
library2	(6,1)	N724748	N7928471	p(6,4);p(6,3);p(6,2);p(6,1);	7	2	3	25	TRUE	26.5	3	0	2,1
library2	(6,4)	N8519556	N695983	p(6,1);p(6,2);p(6,3);p(6,4);	7	2	3	26	TRUE	27.5	3	0	1,2
library2	(6,1)	N2884151	N7473690	p(6,4);p(6,3);p(6,2);p(6,1);	7	2	3	19	TRUE	20.5	3	0	2,1
library2	(6,4)	N8467523	N9349476	p(6,1);p(6,2);p(6,3);p(6,4);	7	2	3	20	TRUE	21.5	3	0	1,2
