world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
museum3	(0,0)	N5362776	NA	p(0,0);	0	0	0	0	FALSE	11.807693	0	26	
museum3	(2,0)	N9151571	N5362776	p(0,0);p(1,0);p(2,0);	1	5	2	2	FALSE	11.807693	15	21	1,2,3,4,5
museum3	(2,1)	N9693047	N9151571	p(2,0);p(2,1);	2	2	1	3	FALSE	13.428573	3	19	1,2
museum3	(4,1)	N331685	N9693047	p(2,1);p(3,1);p(4,1);	3	5	2	5	FALSE	14.368422	11	14	1,1,2,3,4
museum3	(2,4)	N698651	N9693047	p(2,1);p(2,2);p(2,3);p(2,4);	3	4	3	6	FALSE	15.736841	8	15	2,1,3,2
museum3	(4,0)	N4020191	N331685	p(4,1);p(4,0);	4	2	1	6	FALSE	16.928572	3	12	1,2
museum3	(4,4)	N6181968	N331685	p(4,1);p(4,2);p(4,3);p(4,4);	4	4	3	8	FALSE	17.5	8	10	1,2,2,3
museum3	(2,4)	N1270233	N331685	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	4	4	5	10	FALSE	19.785715	8	10	2,1,3,2
museum3	(0,4)	N3560535	N698651	p(2,4);p(1,4);p(0,4);	4	2	2	8	FALSE	18.333332	3	13	2,1
museum3	(4,1)	N5369050	N698651	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	4	5	5	11	FALSE	17.8	11	10	1,1,2,3,4
museum3	(4,4)	N3740717	N4020191	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);	5	4	4	10	FALSE	18.5	8	8	1,2,2,3
museum3	(2,4)	N4380513	N4020191	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4	6	12	FALSE	20.5	8	8	2,1,3,2
museum3	(6,4)	N6005551	N6181968	p(4,4);p(5,4);p(6,4);	5	2	2	10	FALSE	20.5	3	8	2,1
museum3	(4,0)	N2347058	N6181968	p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	5	2	4	12	FALSE	21.7	3	8	1,2
museum3	(2,4)	N191853	N6181968	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4	8	16	FALSE	23.300001	8	6	2,1,3,2
museum3	(0,4)	N7488444	N1270233	p(2,4);p(1,4);p(0,4);	5	2	2	12	FALSE	22.900002	3	8	2,1
museum3	(4,0)	N758154	N1270233	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	5	2	6	16	FALSE	24.1	3	8	1,2
museum3	(4,4)	N9463578	N1270233	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	5	4	8	18	FALSE	24.9	8	6	1,2,2,3
museum3	(4,1)	N6937212	N3560535	p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	5	5	7	15	FALSE	19.692307	11	8	1,1,2,3,4
museum3	(4,0)	N923423	N5369050	p(4,1);p(4,0);	5	2	1	12	FALSE	20.1	3	8	1,2
museum3	(4,4)	N7603236	N5369050	p(4,1);p(4,2);p(4,3);p(4,4);	5	4	3	14	FALSE	20.9	8	6	1,2,2,3
museum3	(0,4)	N7543458	N5369050	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	5	2	7	18	FALSE	28.9	3	8	2,1
museum3	(6,4)	N4418122	N3740717	p(4,4);p(5,4);p(6,4);	6	2	2	12	FALSE	21.75	3	6	2,1
museum3	(2,4)	N9853069	N3740717	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4	8	18	FALSE	23.75	8	4	2,1,3,2
museum3	(0,4)	N7394063	N4380513	p(2,4);p(1,4);p(0,4);	6	2	2	14	FALSE	23.75	3	6	2,1
museum3	(4,4)	N7259138	N4380513	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	6	4	8	20	FALSE	25.75	8	4	1,2,2,3
museum3	(4,0)	N4313730	N6005551	p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	6	2	6	16	FALSE	22.75	3	6	1,2
museum3	(2,4)	N1173558	N6005551	p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4	10	20	FALSE	24.75	8	4	2,1,3,2
museum3	(6,4)	N7110420	N2347058	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	6	2	6	18	FALSE	27.75	3	6	2,1
