world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
roomG3	(0,0)	N2340820	NA	p(0,0);	0	0	0	0	FALSE	10.962962	0	27	
roomG3	(3,0)	N8364961	N2340820	p(0,0);p(1,0);p(2,0);p(3,0);	1	5	3	3	FALSE	10.962962	15	22	1,2,3,4,5
roomG3	(3,3)	N1758224	N8364961	p(3,0);p(3,1);p(3,2);p(3,3);	2	5	3	6	FALSE	12.090909	9	17	3,2,1,1,2
roomG3	(5,3)	N2590368	N1758224	p(3,3);p(4,3);p(5,3);	3	4	2	8	FALSE	14.294119	6	13	2,1,1,2
roomG3	(1,3)	N1212097	N1758224	p(3,3);p(2,3);p(1,3);	3	6	2	8	FALSE	13.3529415	11	11	2,1,2,1,3,2
roomG3	(5,2)	N4137599	N2590368	p(5,3);p(5,2);	4	4	1	9	FALSE	15.769232	8	9	2,3,1,2
roomG3	(5,5)	N4844311	N2590368	p(5,3);p(5,4);p(5,5);	4	2	2	10	FALSE	17.615383	3	11	1,2
roomG3	(1,3)	N7702800	N2590368	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6	4	12	FALSE	17.307692	11	7	2,1,2,1,3,2
roomG3	(5,3)	N3339997	N1212097	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4	4	12	FALSE	15.272728	6	7	2,1,1,2
roomG3	(5,5)	N8025304	N4137599	p(5,2);p(5,3);p(5,4);p(5,5);	5	2	3	12	FALSE	19.222223	3	7	1,2
roomG3	(1,3)	N8440488	N4137599	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	5	14	FALSE	17.88889	11	3	2,1,2,1,3,2
roomG3	(7,5)	N411389	N4844311	p(5,5);p(6,5);p(7,5);	5	1	2	12	FALSE	21.09091	1	10	1
roomG3	(5,2)	N9302903	N4844311	p(5,5);p(5,4);p(5,3);p(5,2);	5	4	3	13	FALSE	18.727272	8	7	2,3,1,2
roomG3	(1,3)	N9127328	N4844311	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	6	16	FALSE	20.545454	11	5	2,1,2,1,3,2
roomG3	(5,2)	N4655006	N7702800	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	4	5	17	FALSE	20.285713	8	3	2,3,1,2
roomG3	(5,5)	N3782824	N7702800	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2	6	18	FALSE	22.571428	3	5	1,2
roomG3	(5,2)	N9523085	N3339997	p(5,3);p(5,2);	5	4	1	13	FALSE	16.285715	8	3	2,3,1,2
roomG3	(5,5)	N7551083	N3339997	p(5,3);p(5,4);p(5,5);	5	2	2	14	FALSE	18.571428	3	5	1,2
roomG3	(7,5)	N6126998	N8025304	p(5,5);p(6,5);p(7,5);	6	1	2	14	FALSE	22.571428	1	6	1
roomG3	(1,3)	N3563329	N8025304	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	6	18	FALSE	20.857143	11	1	2,1,2,1,3,2
roomG3	(5,5)	N1665631	N8440488	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2	6	20	FALSE	22	3	1	1,2
