world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
tworooms2	(0,0)	N8222535	NA	p(0,0);	0	0	0	0	FALSE	10.679999	0	25	
tworooms2	(3,0)	N4900252	N8222535	p(0,0);p(1,0);p(2,0);p(3,0);	1	5	3	3	FALSE	10.679999	15	20	1,2,3,4,5
tworooms2	(3,3)	N7481742	N4900252	p(3,0);p(3,1);p(3,2);p(3,3);	2	5	3	6	FALSE	11.849999	9	15	3,2,1,1,2
tworooms2	(5,3)	N4028198	N7481742	p(3,3);p(4,3);p(5,3);	3	3	2	8	FALSE	15.466667	4	12	1,1,2
tworooms2	(1,3)	N902724	N7481742	p(3,3);p(2,3);p(1,3);	3	6	2	8	FALSE	13.2	11	9	2,1,2,1,3,2
tworooms2	(5,2)	N8212000	N4028198	p(5,3);p(5,2);	4	2	1	9	FALSE	17	3	10	1,2
tworooms2	(5,5)	N851825	N4028198	p(5,3);p(5,4);p(5,5);	4	2	2	10	FALSE	18.499998	3	10	1,2
tworooms2	(1,3)	N185252	N4028198	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6	4	12	FALSE	17.166666	11	6	2,1,2,1,3,2
tworooms2	(5,3)	N5578894	N902724	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	3	4	12	FALSE	15.444444	4	6	1,1,2
tworooms2	(7,2)	N9097797	N8212000	p(5,2);p(6,2);p(7,2);	5	3	2	11	FALSE	18.3	6	7	1,2,3
tworooms2	(5,5)	N1562568	N8212000	p(5,2);p(5,3);p(5,4);p(5,5);	5	2	3	12	FALSE	19.900002	3	8	1,2
tworooms2	(1,3)	N8744047	N8212000	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	5	14	FALSE	18.5	11	4	2,1,2,1,3,2
tworooms2	(7,5)	N848556	N851825	p(5,5);p(6,5);p(7,5);	5	3	2	12	FALSE	19.9	6	7	3,2,1
tworooms2	(5,2)	N9271569	N851825	p(5,5);p(5,4);p(5,3);p(5,2);	5	2	3	13	FALSE	20.1	3	8	1,2
tworooms2	(1,3)	N9862427	N851825	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	6	16	FALSE	20.1	11	4	2,1,2,1,3,2
tworooms2	(5,2)	N2997457	N185252	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	2	5	17	FALSE	20.5	3	4	1,2
tworooms2	(5,5)	N1860521	N185252	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2	6	18	FALSE	21.5	3	4	1,2
tworooms2	(5,2)	N2280435	N5578894	p(5,3);p(5,2);	5	2	1	13	FALSE	16.5	3	4	1,2
tworooms2	(5,5)	N3513642	N5578894	p(5,3);p(5,4);p(5,5);	5	2	2	14	FALSE	17.5	3	4	1,2
tworooms2	(7,5)	N3683355	N9097797	p(7,2);p(7,3);p(7,4);p(7,5);	6	1	3	14	FALSE	22.571428	1	6	1
tworooms2	(1,3)	N9330797	N9097797	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	7	18	FALSE	20.571428	11	1	2,1,2,1,3,2
tworooms2	(7,5)	N4598504	N1562568	p(5,5);p(6,5);p(7,5);	6	2	2	14	FALSE	21.75	3	6	2,1
tworooms2	(1,3)	N8092615	N1562568	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	6	18	FALSE	21.5	11	2	2,1,2,1,3,2
tworooms2	(5,5)	N9775616	N8744047	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2	6	20	FALSE	22.5	3	2	1,2
tworooms2	(7,2)	N8655088	N8744047	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	6	3	7	21	FALSE	23.5	6	1	1,2,3
tworooms2	(7,2)	N4072318	N848556	p(7,5);p(7,4);p(7,3);p(7,2);	6	1	3	15	FALSE	22.714287	1	6	1
tworooms2	(1,3)	N3271265	N848556	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	8	20	FALSE	22.428572	11	1	2,1,2,1,3,2
tworooms2	(7,2)	N2820525	N9271569	p(5,2);p(6,2);p(7,2);	6	2	2	15	FALSE	22	3	6	1,2
tworooms2	(1,3)	N7654004	N9271569	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	5	18	FALSE	21.5	11	2	2,1,2,1,3,2
tworooms2	(5,2)	N9712519	N9862427	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	6	2	5	21	FALSE	23.5	3	2	1,2
tworooms2	(7,5)	N8726787	N9862427	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	3	8	24	FALSE	26.5	6	1	3,2,1
tworooms2	(7,2)	N257016	N2997457	p(5,2);p(6,2);p(7,2);	6	3	2	19	FALSE	21.5	6	1	1,2,3
tworooms2	(5,5)	N7994526	N2997457	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	20	FALSE	22.5	3	2	1,2
tworooms2	(7,5)	N5191758	N1860521	p(5,5);p(6,5);p(7,5);	6	3	2	20	FALSE	22.5	6	1	3,2,1
tworooms2	(5,2)	N5498380	N1860521	p(5,5);p(5,4);p(5,3);p(5,2);	6	2	3	21	FALSE	23.5	3	2	1,2
tworooms2	(7,2)	N414457	N2280435	p(5,2);p(6,2);p(7,2);	6	3	2	15	FALSE	17.5	6	1	1,2,3
tworooms2	(5,5)	N8413034	N2280435	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	16	FALSE	18.5	3	2	1,2
tworooms2	(7,5)	N3940878	N3513642	p(5,5);p(6,5);p(7,5);	6	3	2	16	FALSE	18.5	6	1	3,2,1
tworooms2	(5,2)	N7423136	N3513642	p(5,5);p(5,4);p(5,3);p(5,2);	6	2	3	17	FALSE	19.5	3	2	1,2
tworooms2	(1,3)	N5617057	N3683355	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms2	(5,5)	N1276143	N9330797	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	7	1	6	24	TRUE	25	1	0	1
tworooms2	(1,3)	N6747572	N4598504	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms2	(7,2)	N9026487	N8092615	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	7	2	7	25	TRUE	26.5	3	0	1,2
tworooms2	(7,5)	N262465	N9775616	p(5,5);p(6,5);p(7,5);	7	2	2	22	TRUE	23.5	3	0	2,1
tworooms2	(7,5)	N9785103	N8655088	p(7,2);p(7,3);p(7,4);p(7,5);	7	1	3	24	TRUE	25	1	0	1
tworooms2	(1,3)	N1766970	N4072318	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	7	22	TRUE	23.833334	11	0	2,1,2,1,3,2
tworooms2	(5,2)	N7270719	N3271265	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	7	1	5	25	TRUE	26	1	0	1
